Dániel(Random AI) won 102 games (51%)
Ilona(Random AI) won 98 games (49%)

Games:
Game 0: Winner: Dániel, Type: Random AI
Game 1: Winner: Ilona, Type: Random AI
Game 2: Winner: Dániel, Type: Random AI
Game 3: Winner: Dániel, Type: Random AI
Game 4: Winner: Ilona, Type: Random AI
Game 5: Winner: Ilona, Type: Random AI
Game 6: Winner: Ilona, Type: Random AI
Game 7: Winner: Ilona, Type: Random AI
Game 8: Winner: Ilona, Type: Random AI
Game 9: Winner: Ilona, Type: Random AI
Game 10: Winner: Ilona, Type: Random AI
Game 11: Winner: Ilona, Type: Random AI
Game 12: Winner: Dániel, Type: Random AI
Game 13: Winner: Ilona, Type: Random AI
Game 14: Winner: Ilona, Type: Random AI
Game 15: Winner: Ilona, Type: Random AI
Game 16: Winner: Ilona, Type: Random AI
Game 17: Winner: Dániel, Type: Random AI
Game 18: Winner: Dániel, Type: Random AI
Game 19: Winner: Dániel, Type: Random AI
Game 20: Winner: Dániel, Type: Random AI
Game 21: Winner: Dániel, Type: Random AI
Game 22: Winner: Dániel, Type: Random AI
Game 23: Winner: Ilona, Type: Random AI
Game 24: Winner: Ilona, Type: Random AI
Game 25: Winner: Dániel, Type: Random AI
Game 26: Winner: Dániel, Type: Random AI
Game 27: Winner: Dániel, Type: Random AI
Game 28: Winner: Ilona, Type: Random AI
Game 29: Winner: Dániel, Type: Random AI
Game 30: Winner: Dániel, Type: Random AI
Game 31: Winner: Dániel, Type: Random AI
Game 32: Winner: Dániel, Type: Random AI
Game 33: Winner: Dániel, Type: Random AI
Game 34: Winner: Ilona, Type: Random AI
Game 35: Winner: Dániel, Type: Random AI
Game 36: Winner: Dániel, Type: Random AI
Game 37: Winner: Ilona, Type: Random AI
Game 38: Winner: Dániel, Type: Random AI
Game 39: Winner: Dániel, Type: Random AI
Game 40: Winner: Ilona, Type: Random AI
Game 41: Winner: Dániel, Type: Random AI
Game 42: Winner: Dániel, Type: Random AI
Game 43: Winner: Ilona, Type: Random AI
Game 44: Winner: Ilona, Type: Random AI
Game 45: Winner: Ilona, Type: Random AI
Game 46: Winner: Dániel, Type: Random AI
Game 47: Winner: Dániel, Type: Random AI
Game 48: Winner: Ilona, Type: Random AI
Game 49: Winner: Dániel, Type: Random AI
Game 50: Winner: Ilona, Type: Random AI
Game 51: Winner: Dániel, Type: Random AI
Game 52: Winner: Dániel, Type: Random AI
Game 53: Winner: Ilona, Type: Random AI
Game 54: Winner: Dániel, Type: Random AI
Game 55: Winner: Dániel, Type: Random AI
Game 56: Winner: Dániel, Type: Random AI
Game 57: Winner: Dániel, Type: Random AI
Game 58: Winner: Ilona, Type: Random AI
Game 59: Winner: Dániel, Type: Random AI
Game 60: Winner: Dániel, Type: Random AI
Game 61: Winner: Ilona, Type: Random AI
Game 62: Winner: Dániel, Type: Random AI
Game 63: Winner: Ilona, Type: Random AI
Game 64: Winner: Ilona, Type: Random AI
Game 65: Winner: Dániel, Type: Random AI
Game 66: Winner: Ilona, Type: Random AI
Game 67: Winner: Dániel, Type: Random AI
Game 68: Winner: Dániel, Type: Random AI
Game 69: Winner: Dániel, Type: Random AI
Game 70: Winner: Dániel, Type: Random AI
Game 71: Winner: Dániel, Type: Random AI
Game 72: Winner: Ilona, Type: Random AI
Game 73: Winner: Dániel, Type: Random AI
Game 74: Winner: Ilona, Type: Random AI
