Players:
Ilona (Random AI) 
Anett (Random AI) 
Elemér (Random AI) 

Results:
Anett (Random AI) won 105 games (35%)
Elemér (Random AI) won 101 games (33,6666666666667%)
Ilona (Random AI) won 94 games (31,3333333333333%)

Games:
Game 0: Winner: Anett, Type: Random AI
Game 1: Winner: Anett, Type: Random AI
Game 2: Winner: Elemér, Type: Random AI
Game 3: Winner: Elemér, Type: Random AI
Game 4: Winner: Anett, Type: Random AI
Game 5: Winner: Ilona, Type: Random AI
Game 6: Winner: Anett, Type: Random AI
Game 7: Winner: Anett, Type: Random AI
Game 8: Winner: Ilona, Type: Random AI
Game 9: Winner: Anett, Type: Random AI
Game 10: Winner: Ilona, Type: Random AI
Game 11: Winner: Anett, Type: Random AI
Game 12: Winner: Elemér, Type: Random AI
Game 13: Winner: Elemér, Type: Random AI
Game 14: Winner: Ilona, Type: Random AI
Game 15: Winner: Ilona, Type: Random AI
Game 16: Winner: Ilona, Type: Random AI
Game 17: Winner: Ilona, Type: Random AI
Game 18: Winner: Elemér, Type: Random AI
Game 19: Winner: Ilona, Type: Random AI
Game 20: Winner: Anett, Type: Random AI
Game 21: Winner: Anett, Type: Random AI
Game 22: Winner: Elemér, Type: Random AI
Game 23: Winner: Elemér, Type: Random AI
Game 24: Winner: Elemér, Type: Random AI
Game 25: Winner: Anett, Type: Random AI
Game 26: Winner: Elemér, Type: Random AI
Game 27: Winner: Anett, Type: Random AI
Game 28: Winner: Anett, Type: Random AI
Game 29: Winner: Elemér, Type: Random AI
Game 30: Winner: Elemér, Type: Random AI
Game 31: Winner: Ilona, Type: Random AI
Game 32: Winner: Ilona, Type: Random AI
Game 33: Winner: Anett, Type: Random AI
Game 34: Winner: Ilona, Type: Random AI
Game 35: Winner: Anett, Type: Random AI
Game 36: Winner: Elemér, Type: Random AI
Game 37: Winner: Elemér, Type: Random AI
Game 38: Winner: Elemér, Type: Random AI
Game 39: Winner: Elemér, Type: Random AI
Game 40: Winner: Ilona, Type: Random AI
Game 41: Winner: Ilona, Type: Random AI
Game 42: Winner: Ilona, Type: Random AI
Game 43: Winner: Anett, Type: Random AI
Game 44: Winner: Anett, Type: Random AI
Game 45: Winner: Ilona, Type: Random AI
Game 46: Winner: Elemér, Type: Random AI
Game 47: Winner: Anett, Type: Random AI
Game 48: Winner: Elemér, Type: Random AI
Game 49: Winner: Anett, Type: Random AI
Game 50: Winner: Ilona, Type: Random AI
Game 51: Winner: Elemér, Type: Random AI
Game 52: Winner: Ilona, Type: Random AI
Game 53: Winner: Anett, Type: Random AI
Game 54: Winner: Ilona, Type: Random AI
Game 55: Winner: Ilona, Type: Random AI
Game 56: Winner: Elemér, Type: Random AI
Game 57: Winner: Elemér, Type: Random AI
Game 58: Winner: Anett, Type: Random AI
Game 59: Winner: Elemér, Type: Random AI
Game 60: Winner: Elemér, Type: Random AI
Game 61: Winner: Elemér, Type: Random AI
Game 62: Winner: Anett, Type: Random AI
Game 63: Winner: Elemér, Type: Random AI
Game 64: Winner: Ilona, Type: Random AI
Game 65: Winner: Anett, Type: Random AI
Game 66: Winner: Ilona, Type: Random AI
Game 67: Winner: Ilona, Type: Random AI
Game 68: Winner: Anett, Type: Random AI
Game 69: Winner: Ilona, Type: Random AI
Game 70: Winner: Ilona, Type: Random AI
Game 71: Winner: Anett, Type: Random AI
Game 72: Winner: Anett, Type: Random AI
Game 73: Winner: Ilona, Type: Random AI
Game 74: Winner: Ilona, Type: Random AI
Game 75: Winner: Anett, Type: Random AI
Game 76: Winner: Elemér, Type: Random AI
Game 77: Winner: Ilona, Type: Random AI
Game 78: Winner: Elemér, Type: Random AI
Game 79: Winner: Anett, Type: Random AI
Game 80: Winner: Anett, Type: Random AI
Game 81: Winner: Anett, Type: Random AI
Game 82: Winner: Ilona, Type: Random AI
Game 83: Winner: Anett, Type: Random AI
Game 84: Winner: Anett, Type: Random AI
Game 85: Winner: Elemér, Type: Random AI
Game 86: Winner: Anett, Type: Random AI
Game 87: Winner: Elemér, Type: Random AI
Game 88: Winner: Anett, Type: Random AI
Game 89: Winner: Ilona, Type: Random AI
Game 90: Winner: Anett, Type: Random AI
Game 91: Winner: Ilona, Type: Random AI
Game 92: Winner: Elemér, Type: Random AI
Game 93: Winner: Ilona, Type: Random AI
Game 94: Winner: Ilona, Type: Random AI
Game 95: Winner: Anett, Type: Random AI
Game 96: Winner: Ilona, Type: Random AI
Game 97: Winner: Ilona, Type: Random AI
Game 98: Winner: Elemér, Type: Random AI
Game 99: Winner: Anett, Type: Random AI
Game 100: Winner: Ilona, Type: Random AI
Game 101: Winner: Anett, Type: Random AI
Game 102: Winner: Ilona, Type: Random AI
Game 103: Winner: Anett, Type: Random AI
Game 104: Winner: Elemér, Type: Random AI
Game 105: Winner: Anett, Type: Random AI
Game 106: Winner: Anett, Type: Random AI
Game 107: Winner: Elemér, Type: Random AI
Game 108: Winner: Ilona, Type: Random AI
Game 109: Winner: Anett, Type: Random AI
Game 110: Winner: Anett, Type: Random AI
Game 111: Winner: Anett, Type: Random AI
Game 112: Winner: Ilona, Type: Random AI
Game 113: Winner: Elemér, Type: Random AI
Game 114: Winner: Anett, Type: Random AI
Game 115: Winner: Ilona, Type: Random AI
Game 116: Winner: Anett, Type: Random AI
Game 117: Winner: Anett, Type: Random AI
Game 118: Winner: Anett, Type: Random AI
Game 119: Winner: Elemér, Type: Random AI
Game 120: Winner: Ilona, Type: Random AI
Game 121: Winner: Elemér, Type: Random AI
Game 122: Winner: Ilona, Type: Random AI
Game 123: Winner: Ilona, Type: Random AI
Game 124: Winner: Anett, Type: Random AI
Game 125: Winner: Elemér, Type: Random AI
Game 126: Winner: Ilona, Type: Random AI
Game 127: Winner: Anett, Type: Random AI
Game 128: Winner: Elemér, Type: Random AI
Game 129: Winner: Elemér, Type: Random AI
Game 130: Winner: Anett, Type: Random AI
