Players:
Béla (Random AI) 
Károly (Simple AI) 

Results:
Károly (Simple AI) won 511 games (51,1%)
Béla (Random AI) won 489 games (48,9%)

Games:
Game 0: Winner: Károly, Type: Simple AI
Game 1: Winner: Károly, Type: Simple AI
Game 2: Winner: Béla, Type: Random AI
Game 3: Winner: Béla, Type: Random AI
Game 4: Winner: Károly, Type: Simple AI
Game 5: Winner: Károly, Type: Simple AI
Game 6: Winner: Károly, Type: Simple AI
Game 7: Winner: Béla, Type: Random AI
Game 8: Winner: Károly, Type: Simple AI
Game 9: Winner: Károly, Type: Simple AI
Game 10: Winner: Károly, Type: Simple AI
Game 11: Winner: Károly, Type: Simple AI
Game 12: Winner: Béla, Type: Random AI
Game 13: Winner: Béla, Type: Random AI
Game 14: Winner: Károly, Type: Simple AI
Game 15: Winner: Károly, Type: Simple AI
Game 16: Winner: Károly, Type: Simple AI
Game 17: Winner: Károly, Type: Simple AI
Game 18: Winner: Béla, Type: Random AI
Game 19: Winner: Károly, Type: Simple AI
Game 20: Winner: Béla, Type: Random AI
Game 21: Winner: Béla, Type: Random AI
Game 22: Winner: Károly, Type: Simple AI
Game 23: Winner: Béla, Type: Random AI
Game 24: Winner: Béla, Type: Random AI
Game 25: Winner: Károly, Type: Simple AI
Game 26: Winner: Károly, Type: Simple AI
Game 27: Winner: Béla, Type: Random AI
Game 28: Winner: Károly, Type: Simple AI
Game 29: Winner: Béla, Type: Random AI
Game 30: Winner: Béla, Type: Random AI
Game 31: Winner: Károly, Type: Simple AI
Game 32: Winner: Béla, Type: Random AI
Game 33: Winner: Béla, Type: Random AI
Game 34: Winner: Károly, Type: Simple AI
Game 35: Winner: Károly, Type: Simple AI
Game 36: Winner: Béla, Type: Random AI
Game 37: Winner: Béla, Type: Random AI
Game 38: Winner: Károly, Type: Simple AI
Game 39: Winner: Károly, Type: Simple AI
Game 40: Winner: Károly, Type: Simple AI
Game 41: Winner: Béla, Type: Random AI
Game 42: Winner: Béla, Type: Random AI
Game 43: Winner: Károly, Type: Simple AI
Game 44: Winner: Béla, Type: Random AI
Game 45: Winner: Károly, Type: Simple AI
Game 46: Winner: Károly, Type: Simple AI
Game 47: Winner: Károly, Type: Simple AI
Game 48: Winner: Béla, Type: Random AI
Game 49: Winner: Béla, Type: Random AI
Game 50: Winner: Béla, Type: Random AI
Game 51: Winner: Béla, Type: Random AI
Game 52: Winner: Károly, Type: Simple AI
Game 53: Winner: Károly, Type: Simple AI
Game 54: Winner: Károly, Type: Simple AI
Game 55: Winner: Károly, Type: Simple AI
Game 56: Winner: Károly, Type: Simple AI
Game 57: Winner: Károly, Type: Simple AI
Game 58: Winner: Béla, Type: Random AI
Game 59: Winner: Béla, Type: Random AI
Game 60: Winner: Béla, Type: Random AI
Game 61: Winner: Béla, Type: Random AI
Game 62: Winner: Károly, Type: Simple AI
Game 63: Winner: Béla, Type: Random AI
Game 64: Winner: Béla, Type: Random AI
Game 65: Winner: Béla, Type: Random AI
Game 66: Winner: Károly, Type: Simple AI
Game 67: Winner: Béla, Type: Random AI
Game 68: Winner: Béla, Type: Random AI
Game 69: Winner: Béla, Type: Random AI
