Players:
Gergő (Random AI) 
Sándor (Simple AI) 

Results:
Sándor (Simple AI) won 471 games (47,1%)
Gergő (Random AI) won 529 games (52,9%)

Games:
Game 0: Winner: Sándor, Type: Simple AI
Game 1: Winner: Gergő, Type: Random AI
Game 2: Winner: Sándor, Type: Simple AI
Game 3: Winner: Gergő, Type: Random AI
Game 4: Winner: Gergő, Type: Random AI
Game 5: Winner: Sándor, Type: Simple AI
Game 6: Winner: Gergő, Type: Random AI
Game 7: Winner: Gergő, Type: Random AI
Game 8: Winner: Gergő, Type: Random AI
Game 9: Winner: Sándor, Type: Simple AI
Game 10: Winner: Gergő, Type: Random AI
Game 11: Winner: Sándor, Type: Simple AI
Game 12: Winner: Sándor, Type: Simple AI
Game 13: Winner: Gergő, Type: Random AI
Game 14: Winner: Gergő, Type: Random AI
Game 15: Winner: Gergő, Type: Random AI
Game 16: Winner: Gergő, Type: Random AI
Game 17: Winner: Sándor, Type: Simple AI
Game 18: Winner: Gergő, Type: Random AI
Game 19: Winner: Gergő, Type: Random AI
Game 20: Winner: Gergő, Type: Random AI
Game 21: Winner: Gergő, Type: Random AI
Game 22: Winner: Gergő, Type: Random AI
Game 23: Winner: Gergő, Type: Random AI
Game 24: Winner: Gergő, Type: Random AI
Game 25: Winner: Gergő, Type: Random AI
Game 26: Winner: Sándor, Type: Simple AI
Game 27: Winner: Gergő, Type: Random AI
Game 28: Winner: Sándor, Type: Simple AI
Game 29: Winner: Sándor, Type: Simple AI
Game 30: Winner: Gergő, Type: Random AI
Game 31: Winner: Sándor, Type: Simple AI
Game 32: Winner: Sándor, Type: Simple AI
Game 33: Winner: Gergő, Type: Random AI
Game 34: Winner: Gergő, Type: Random AI
Game 35: Winner: Gergő, Type: Random AI
Game 36: Winner: Gergő, Type: Random AI
Game 37: Winner: Gergő, Type: Random AI
Game 38: Winner: Sándor, Type: Simple AI
Game 39: Winner: Gergő, Type: Random AI
Game 40: Winner: Sándor, Type: Simple AI
Game 41: Winner: Sándor, Type: Simple AI
Game 42: Winner: Sándor, Type: Simple AI
Game 43: Winner: Sándor, Type: Simple AI
Game 44: Winner: Gergő, Type: Random AI
Game 45: Winner: Gergő, Type: Random AI
Game 46: Winner: Sándor, Type: Simple AI
Game 47: Winner: Gergő, Type: Random AI
Game 48: Winner: Sándor, Type: Simple AI
Game 49: Winner: Sándor, Type: Simple AI
Game 50: Winner: Gergő, Type: Random AI
Game 51: Winner: Sándor, Type: Simple AI
Game 52: Winner: Gergő, Type: Random AI
Game 53: Winner: Gergő, Type: Random AI
Game 54: Winner: Gergő, Type: Random AI
Game 55: Winner: Gergő, Type: Random AI
Game 56: Winner: Gergő, Type: Random AI
Game 57: Winner: Gergő, Type: Random AI
Game 58: Winner: Gergő, Type: Random AI
Game 59: Winner: Sándor, Type: Simple AI
Game 60: Winner: Gergő, Type: Random AI
Game 61: Winner: Sándor, Type: Simple AI
Game 62: Winner: Gergő, Type: Random AI
Game 63: Winner: Gergő, Type: Random AI
Game 64: Winner: Gergő, Type: Random AI
Game 65: Winner: Sándor, Type: Simple AI
Game 66: Winner: Gergő, Type: Random AI
Game 67: Winner: Gergő, Type: Random AI
Game 68: Winner: Gergő, Type: Random AI
Game 69: Winner: Sándor, Type: Simple AI
Game 70: Winner: Sándor, Type: Simple AI
Game 71: Winner: Sándor, Type: Simple AI
Game 72: Winner: Gergő, Type: Random AI
Game 73: Winner: Gergő, Type: Random AI
Game 74: Winner: Gergő, Type: Random AI
Game 75: Winner: Gergő, Type: Random AI
Game 76: Winner: Sándor, Type: Simple AI
Game 77: Winner: Gergő, Type: Random AI
Game 78: Winner: Gergő, Type: Random AI
Game 79: Winner: Gergő, Type: Random AI
Game 80: Winner: Sándor, Type: Simple AI
Game 81: Winner: Sándor, Type: Simple AI
Game 82: Winner: Sándor, Type: Simple AI
Game 83: Winner: Gergő, Type: Random AI
Game 84: Winner: Gergő, Type: Random AI
Game 85: Winner: Sándor, Type: Simple AI
Game 86: Winner: Gergő, Type: Random AI
Game 87: Winner: Sándor, Type: Simple AI
Game 88: Winner: Gergő, Type: Random AI
Game 89: Winner: Gergő, Type: Random AI
Game 90: Winner: Sándor, Type: Simple AI
Game 91: Winner: Sándor, Type: Simple AI
Game 92: Winner: Sándor, Type: Simple AI
Game 93: Winner: Sándor, Type: Simple AI
Game 94: Winner: Gergő, Type: Random AI
Game 95: Winner: Gergő, Type: Random AI
Game 96: Winner: Sándor, Type: Simple AI
Game 97: Winner: Sándor, Type: Simple AI
Game 98: Winner: Gergő, Type: Random AI
Game 99: Winner: Sándor, Type: Simple AI
Game 100: Winner: Gergő, Type: Random AI
Game 101: Winner: Sándor, Type: Simple AI
Game 102: Winner: Gergő, Type: Random AI
Game 103: Winner: Gergő, Type: Random AI
Game 104: Winner: Gergő, Type: Random AI
Game 105: Winner: Sándor, Type: Simple AI
Game 106: Winner: Gergő, Type: Random AI
Game 107: Winner: Gergő, Type: Random AI
Game 108: Winner: Gergő, Type: Random AI
Game 109: Winner: Sándor, Type: Simple AI
Game 110: Winner: Sándor, Type: Simple AI
Game 111: Winner: Sándor, Type: Simple AI
Game 112: Winner: Sándor, Type: Simple AI
Game 113: Winner: Sándor, Type: Simple AI
Game 114: Winner: Sándor, Type: Simple AI
Game 115: Winner: Sándor, Type: Simple AI
Game 116: Winner: Sándor, Type: Simple AI
Game 117: Winner: Gergő, Type: Random AI
Game 118: Winner: Gergő, Type: Random AI
Game 119: Winner: Gergő, Type: Random AI
Game 120: Winner: Gergő, Type: Random AI
Game 121: Winner: Gergő, Type: Random AI
Game 122: Winner: Sándor, Type: Simple AI
Game 123: Winner: Sándor, Type: Simple AI
Game 124: Winner: Sándor, Type: Simple AI
Game 125: Winner: Gergő, Type: Random AI
Game 126: Winner: Gergő, Type: Random AI
Game 127: Winner: Gergő, Type: Random AI
Game 128: Winner: Sándor, Type: Simple AI
Game 129: Winner: Gergő, Type: Random AI
Game 130: Winner: Sándor, Type: Simple AI
Game 131: Winner: Sándor, Type: Simple AI
Game 132: Winner: Sándor, Type: Simple AI
Game 133: Winner: Sándor, Type: Simple AI
Game 134: Winner: Gergő, Type: Random AI
Game 135: Winner: Sándor, Type: Simple AI
Game 136: Winner: Gergő, Type: Random AI
Game 137: Winner: Sándor, Type: Simple AI
Game 138: Winner: Sándor, Type: Simple AI
Game 139: Winner: Sándor, Type: Simple AI
Game 140: Winner: Gergő, Type: Random AI
Game 141: Winner: Gergő, Type: Random AI
Game 142: Winner: Sándor, Type: Simple AI
Game 143: Winner: Sándor, Type: Simple AI
Game 144: Winner: Gergő, Type: Random AI
Game 145: Winner: Gergő, Type: Random AI
Game 146: Winner: Sándor, Type: Simple AI
Game 147: Winner: Gergő, Type: Random AI
Game 148: Winner: Gergő, Type: Random AI
Game 149: Winner: Gergő, Type: Random AI
Game 150: Winner: Sándor, Type: Simple AI
Game 151: Winner: Gergő, Type: Random AI
Game 152: Winner: Gergő, Type: Random AI
Game 153: Winner: Gergő, Type: Random AI
Game 154: Winner: Sándor, Type: Simple AI
Game 155: Winner: Sándor, Type: Simple AI
Game 156: Winner: Gergő, Type: Random AI
Game 157: Winner: Gergő, Type: Random AI
Game 158: Winner: Sándor, Type: Simple AI
Game 159: Winner: Sándor, Type: Simple AI
Game 160: Winner: Gergő, Type: Random AI
Game 161: Winner: Gergő, Type: Random AI
Game 162: Winner: Gergő, Type: Random AI
Game 163: Winner: Gergő, Type: Random AI
Game 164: Winner: Gergő, Type: Random AI
Game 165: Winner: Sándor, Type: Simple AI
Game 166: Winner: Sándor, Type: Simple AI
Game 167: Winner: Sándor, Type: Simple AI
Game 168: Winner: Sándor, Type: Simple AI
Game 169: Winner: Sándor, Type: Simple AI
Game 170: Winner: Sándor, Type: Simple AI
Game 171: Winner: Sándor, Type: Simple AI
Game 172: Winner: Sándor, Type: Simple AI
Game 173: Winner: Gergő, Type: Random AI
Game 174: Winner: Sándor, Type: Simple AI
Game 175: Winner: Gergő, Type: Random AI
Game 176: Winner: Sándor, Type: Simple AI
Game 177: Winner: Gergő, Type: Random AI
Game 178: Winner: Gergő, Type: Random AI
Game 179: Winner: Sándor, Type: Simple AI
Game 180: Winner: Gergő, Type: Random AI
Game 181: Winner: Sándor, Type: Simple AI
Game 182: Winner: Sándor, Type: Simple AI
Game 183: Winner: Gergő, Type: Random AI
