Players:
Kinga (Random AI) 
Teodóra (Simple AI) 

Results:
Teodóra (Simple AI) won 499 games (49,9%)
Kinga (Random AI) won 501 games (50,1%)

Games:
Game 0: Winner: Teodóra, Type: Simple AI
Game 1: Winner: Kinga, Type: Random AI
Game 2: Winner: Teodóra, Type: Simple AI
Game 3: Winner: Teodóra, Type: Simple AI
Game 4: Winner: Kinga, Type: Random AI
Game 5: Winner: Teodóra, Type: Simple AI
Game 6: Winner: Kinga, Type: Random AI
Game 7: Winner: Teodóra, Type: Simple AI
Game 8: Winner: Kinga, Type: Random AI
Game 9: Winner: Teodóra, Type: Simple AI
Game 10: Winner: Teodóra, Type: Simple AI
Game 11: Winner: Teodóra, Type: Simple AI
Game 12: Winner: Kinga, Type: Random AI
Game 13: Winner: Teodóra, Type: Simple AI
Game 14: Winner: Kinga, Type: Random AI
Game 15: Winner: Teodóra, Type: Simple AI
Game 16: Winner: Kinga, Type: Random AI
Game 17: Winner: Teodóra, Type: Simple AI
Game 18: Winner: Teodóra, Type: Simple AI
Game 19: Winner: Teodóra, Type: Simple AI
Game 20: Winner: Teodóra, Type: Simple AI
Game 21: Winner: Teodóra, Type: Simple AI
Game 22: Winner: Kinga, Type: Random AI
Game 23: Winner: Teodóra, Type: Simple AI
Game 24: Winner: Kinga, Type: Random AI
Game 25: Winner: Teodóra, Type: Simple AI
Game 26: Winner: Kinga, Type: Random AI
Game 27: Winner: Teodóra, Type: Simple AI
Game 28: Winner: Kinga, Type: Random AI
Game 29: Winner: Kinga, Type: Random AI
Game 30: Winner: Kinga, Type: Random AI
Game 31: Winner: Kinga, Type: Random AI
Game 32: Winner: Kinga, Type: Random AI
Game 33: Winner: Teodóra, Type: Simple AI
Game 34: Winner: Kinga, Type: Random AI
Game 35: Winner: Teodóra, Type: Simple AI
Game 36: Winner: Kinga, Type: Random AI
Game 37: Winner: Kinga, Type: Random AI
Game 38: Winner: Teodóra, Type: Simple AI
Game 39: Winner: Kinga, Type: Random AI
Game 40: Winner: Kinga, Type: Random AI
Game 41: Winner: Kinga, Type: Random AI
Game 42: Winner: Kinga, Type: Random AI
Game 43: Winner: Kinga, Type: Random AI
Game 44: Winner: Kinga, Type: Random AI
Game 45: Winner: Kinga, Type: Random AI
Game 46: Winner: Teodóra, Type: Simple AI
Game 47: Winner: Kinga, Type: Random AI
Game 48: Winner: Kinga, Type: Random AI
Game 49: Winner: Kinga, Type: Random AI
Game 50: Winner: Teodóra, Type: Simple AI
Game 51: Winner: Kinga, Type: Random AI
Game 52: Winner: Kinga, Type: Random AI
Game 53: Winner: Teodóra, Type: Simple AI
Game 54: Winner: Kinga, Type: Random AI
Game 55: Winner: Teodóra, Type: Simple AI
Game 56: Winner: Teodóra, Type: Simple AI
Game 57: Winner: Kinga, Type: Random AI
Game 58: Winner: Teodóra, Type: Simple AI
Game 59: Winner: Kinga, Type: Random AI
Game 60: Winner: Kinga, Type: Random AI
Game 61: Winner: Teodóra, Type: Simple AI
Game 62: Winner: Kinga, Type: Random AI
Game 63: Winner: Teodóra, Type: Simple AI
Game 64: Winner: Teodóra, Type: Simple AI
Game 65: Winner: Teodóra, Type: Simple AI
Game 66: Winner: Teodóra, Type: Simple AI
Game 67: Winner: Teodóra, Type: Simple AI
Game 68: Winner: Teodóra, Type: Simple AI
Game 69: Winner: Teodóra, Type: Simple AI
Game 70: Winner: Kinga, Type: Random AI
Game 71: Winner: Teodóra, Type: Simple AI
Game 72: Winner: Teodóra, Type: Simple AI
Game 73: Winner: Teodóra, Type: Simple AI
Game 74: Winner: Teodóra, Type: Simple AI
Game 75: Winner: Kinga, Type: Random AI
Game 76: Winner: Kinga, Type: Random AI
Game 77: Winner: Teodóra, Type: Simple AI
Game 78: Winner: Kinga, Type: Random AI
Game 79: Winner: Teodóra, Type: Simple AI
Game 80: Winner: Kinga, Type: Random AI
Game 81: Winner: Teodóra, Type: Simple AI
Game 82: Winner: Kinga, Type: Random AI
Game 83: Winner: Teodóra, Type: Simple AI
Game 84: Winner: Kinga, Type: Random AI
Game 85: Winner: Teodóra, Type: Simple AI
Game 86: Winner: Kinga, Type: Random AI
Game 87: Winner: Kinga, Type: Random AI
Game 88: Winner: Kinga, Type: Random AI
Game 89: Winner: Teodóra, Type: Simple AI
Game 90: Winner: Kinga, Type: Random AI
Game 91: Winner: Teodóra, Type: Simple AI
Game 92: Winner: Teodóra, Type: Simple AI
Game 93: Winner: Teodóra, Type: Simple AI
Game 94: Winner: Kinga, Type: Random AI
Game 95: Winner: Teodóra, Type: Simple AI
Game 96: Winner: Teodóra, Type: Simple AI
Game 97: Winner: Teodóra, Type: Simple AI
Game 98: Winner: Kinga, Type: Random AI
Game 99: Winner: Teodóra, Type: Simple AI
Game 100: Winner: Kinga, Type: Random AI
Game 101: Winner: Teodóra, Type: Simple AI
Game 102: Winner: Teodóra, Type: Simple AI
Game 103: Winner: Teodóra, Type: Simple AI
Game 104: Winner: Teodóra, Type: Simple AI
Game 105: Winner: Teodóra, Type: Simple AI
Game 106: Winner: Teodóra, Type: Simple AI
Game 107: Winner: Teodóra, Type: Simple AI
Game 108: Winner: Teodóra, Type: Simple AI
Game 109: Winner: Kinga, Type: Random AI
Game 110: Winner: Kinga, Type: Random AI
Game 111: Winner: Teodóra, Type: Simple AI
Game 112: Winner: Kinga, Type: Random AI
Game 113: Winner: Kinga, Type: Random AI
Game 114: Winner: Teodóra, Type: Simple AI
Game 115: Winner: Kinga, Type: Random AI
