Players:
Ilona (Random AI) 
Áron (Simple AI) 

Results:
Áron (Simple AI) won 493 games (49,3%)
Ilona (Random AI) won 507 games (50,7%)

Games:
Game 0: Winner: Áron, Type: Simple AI
Game 1: Winner: Áron, Type: Simple AI
Game 2: Winner: Ilona, Type: Random AI
Game 3: Winner: Ilona, Type: Random AI
Game 4: Winner: Ilona, Type: Random AI
Game 5: Winner: Áron, Type: Simple AI
Game 6: Winner: Áron, Type: Simple AI
Game 7: Winner: Áron, Type: Simple AI
Game 8: Winner: Ilona, Type: Random AI
Game 9: Winner: Áron, Type: Simple AI
Game 10: Winner: Áron, Type: Simple AI
Game 11: Winner: Ilona, Type: Random AI
Game 12: Winner: Áron, Type: Simple AI
Game 13: Winner: Áron, Type: Simple AI
Game 14: Winner: Áron, Type: Simple AI
Game 15: Winner: Áron, Type: Simple AI
Game 16: Winner: Ilona, Type: Random AI
Game 17: Winner: Ilona, Type: Random AI
Game 18: Winner: Ilona, Type: Random AI
Game 19: Winner: Ilona, Type: Random AI
Game 20: Winner: Áron, Type: Simple AI
Game 21: Winner: Áron, Type: Simple AI
Game 22: Winner: Áron, Type: Simple AI
Game 23: Winner: Áron, Type: Simple AI
Game 24: Winner: Áron, Type: Simple AI
Game 25: Winner: Ilona, Type: Random AI
Game 26: Winner: Áron, Type: Simple AI
Game 27: Winner: Ilona, Type: Random AI
Game 28: Winner: Áron, Type: Simple AI
Game 29: Winner: Ilona, Type: Random AI
Game 30: Winner: Áron, Type: Simple AI
Game 31: Winner: Ilona, Type: Random AI
Game 32: Winner: Áron, Type: Simple AI
Game 33: Winner: Ilona, Type: Random AI
Game 34: Winner: Ilona, Type: Random AI
Game 35: Winner: Ilona, Type: Random AI
Game 36: Winner: Áron, Type: Simple AI
Game 37: Winner: Áron, Type: Simple AI
Game 38: Winner: Ilona, Type: Random AI
Game 39: Winner: Ilona, Type: Random AI
Game 40: Winner: Áron, Type: Simple AI
Game 41: Winner: Áron, Type: Simple AI
Game 42: Winner: Ilona, Type: Random AI
Game 43: Winner: Ilona, Type: Random AI
Game 44: Winner: Áron, Type: Simple AI
Game 45: Winner: Áron, Type: Simple AI
Game 46: Winner: Ilona, Type: Random AI
Game 47: Winner: Áron, Type: Simple AI
Game 48: Winner: Áron, Type: Simple AI
Game 49: Winner: Ilona, Type: Random AI
Game 50: Winner: Ilona, Type: Random AI
Game 51: Winner: Áron, Type: Simple AI
Game 52: Winner: Ilona, Type: Random AI
Game 53: Winner: Ilona, Type: Random AI
Game 54: Winner: Ilona, Type: Random AI
Game 55: Winner: Áron, Type: Simple AI
Game 56: Winner: Ilona, Type: Random AI
Game 57: Winner: Ilona, Type: Random AI
Game 58: Winner: Ilona, Type: Random AI
Game 59: Winner: Áron, Type: Simple AI
Game 60: Winner: Áron, Type: Simple AI
Game 61: Winner: Áron, Type: Simple AI
Game 62: Winner: Áron, Type: Simple AI
Game 63: Winner: Ilona, Type: Random AI
Game 64: Winner: Ilona, Type: Random AI
Game 65: Winner: Áron, Type: Simple AI
Game 66: Winner: Ilona, Type: Random AI
Game 67: Winner: Áron, Type: Simple AI
Game 68: Winner: Áron, Type: Simple AI
Game 69: Winner: Áron, Type: Simple AI
Game 70: Winner: Áron, Type: Simple AI
Game 71: Winner: Ilona, Type: Random AI
Game 72: Winner: Áron, Type: Simple AI
Game 73: Winner: Áron, Type: Simple AI
Game 74: Winner: Áron, Type: Simple AI
Game 75: Winner: Ilona, Type: Random AI
Game 76: Winner: Áron, Type: Simple AI
Game 77: Winner: Ilona, Type: Random AI
Game 78: Winner: Áron, Type: Simple AI
Game 79: Winner: Ilona, Type: Random AI
Game 80: Winner: Ilona, Type: Random AI
Game 81: Winner: Ilona, Type: Random AI
Game 82: Winner: Ilona, Type: Random AI
Game 83: Winner: Ilona, Type: Random AI
Game 84: Winner: Áron, Type: Simple AI
Game 85: Winner: Áron, Type: Simple AI
Game 86: Winner: Ilona, Type: Random AI
Game 87: Winner: Ilona, Type: Random AI
Game 88: Winner: Áron, Type: Simple AI
Game 89: Winner: Ilona, Type: Random AI
Game 90: Winner: Áron, Type: Simple AI
Game 91: Winner: Ilona, Type: Random AI
Game 92: Winner: Ilona, Type: Random AI
Game 93: Winner: Áron, Type: Simple AI
Game 94: Winner: Áron, Type: Simple AI
Game 95: Winner: Áron, Type: Simple AI
Game 96: Winner: Áron, Type: Simple AI
Game 97: Winner: Áron, Type: Simple AI
Game 98: Winner: Áron, Type: Simple AI
Game 99: Winner: Ilona, Type: Random AI
Game 100: Winner: Ilona, Type: Random AI
Game 101: Winner: Ilona, Type: Random AI
Game 102: Winner: Áron, Type: Simple AI
Game 103: Winner: Áron, Type: Simple AI
Game 104: Winner: Ilona, Type: Random AI
Game 105: Winner: Ilona, Type: Random AI
Game 106: Winner: Áron, Type: Simple AI
Game 107: Winner: Ilona, Type: Random AI
Game 108: Winner: Ilona, Type: Random AI
Game 109: Winner: Ilona, Type: Random AI
Game 110: Winner: Ilona, Type: Random AI
Game 111: Winner: Ilona, Type: Random AI
Game 112: Winner: Ilona, Type: Random AI
Game 113: Winner: Ilona, Type: Random AI
Game 114: Winner: Áron, Type: Simple AI
Game 115: Winner: Ilona, Type: Random AI
Game 116: Winner: Áron, Type: Simple AI
Game 117: Winner: Áron, Type: Simple AI
Game 118: Winner: Ilona, Type: Random AI
Game 119: Winner: Áron, Type: Simple AI
Game 120: Winner: Áron, Type: Simple AI
Game 121: Winner: Áron, Type: Simple AI
Game 122: Winner: Ilona, Type: Random AI
Game 123: Winner: Ilona, Type: Random AI
Game 124: Winner: Áron, Type: Simple AI
Game 125: Winner: Áron, Type: Simple AI
Game 126: Winner: Áron, Type: Simple AI
Game 127: Winner: Áron, Type: Simple AI
Game 128: Winner: Áron, Type: Simple AI
Game 129: Winner: Ilona, Type: Random AI
Game 130: Winner: Áron, Type: Simple AI
Game 131: Winner: Áron, Type: Simple AI
Game 132: Winner: Áron, Type: Simple AI
Game 133: Winner: Ilona, Type: Random AI
Game 134: Winner: Áron, Type: Simple AI
Game 135: Winner: Áron, Type: Simple AI
Game 136: Winner: Ilona, Type: Random AI
Game 137: Winner: Ilona, Type: Random AI
Game 138: Winner: Áron, Type: Simple AI
Game 139: Winner: Áron, Type: Simple AI
Game 140: Winner: Ilona, Type: Random AI
Game 141: Winner: Ilona, Type: Random AI
Game 142: Winner: Áron, Type: Simple AI
Game 143: Winner: Ilona, Type: Random AI
Game 144: Winner: Áron, Type: Simple AI
Game 145: Winner: Áron, Type: Simple AI
Game 146: Winner: Áron, Type: Simple AI
Game 147: Winner: Áron, Type: Simple AI
Game 148: Winner: Áron, Type: Simple AI
Game 149: Winner: Ilona, Type: Random AI
Game 150: Winner: Ilona, Type: Random AI
Game 151: Winner: Ilona, Type: Random AI
Game 152: Winner: Ilona, Type: Random AI
Game 153: Winner: Áron, Type: Simple AI
Game 154: Winner: Ilona, Type: Random AI
Game 155: Winner: Áron, Type: Simple AI
Game 156: Winner: Áron, Type: Simple AI
Game 157: Winner: Áron, Type: Simple AI
Game 158: Winner: Áron, Type: Simple AI
Game 159: Winner: Áron, Type: Simple AI
Game 160: Winner: Áron, Type: Simple AI
Game 161: Winner: Ilona, Type: Random AI
Game 162: Winner: Áron, Type: Simple AI
