Players:
Tibor (Random AI) 
Teodóra (Simple AI) 

Results:
Tibor (Random AI) won 500 games (50%)
Teodóra (Simple AI) won 500 games (50%)

Games:
Game 0: Winner: Tibor, Type: Random AI
Game 1: Winner: Tibor, Type: Random AI
Game 2: Winner: Tibor, Type: Random AI
Game 3: Winner: Tibor, Type: Random AI
Game 4: Winner: Teodóra, Type: Simple AI
Game 5: Winner: Teodóra, Type: Simple AI
Game 6: Winner: Teodóra, Type: Simple AI
Game 7: Winner: Teodóra, Type: Simple AI
Game 8: Winner: Tibor, Type: Random AI
Game 9: Winner: Teodóra, Type: Simple AI
Game 10: Winner: Tibor, Type: Random AI
Game 11: Winner: Tibor, Type: Random AI
Game 12: Winner: Teodóra, Type: Simple AI
Game 13: Winner: Tibor, Type: Random AI
Game 14: Winner: Tibor, Type: Random AI
Game 15: Winner: Teodóra, Type: Simple AI
Game 16: Winner: Teodóra, Type: Simple AI
Game 17: Winner: Teodóra, Type: Simple AI
Game 18: Winner: Teodóra, Type: Simple AI
Game 19: Winner: Tibor, Type: Random AI
Game 20: Winner: Tibor, Type: Random AI
Game 21: Winner: Tibor, Type: Random AI
Game 22: Winner: Teodóra, Type: Simple AI
Game 23: Winner: Tibor, Type: Random AI
Game 24: Winner: Teodóra, Type: Simple AI
Game 25: Winner: Tibor, Type: Random AI
Game 26: Winner: Teodóra, Type: Simple AI
Game 27: Winner: Teodóra, Type: Simple AI
Game 28: Winner: Tibor, Type: Random AI
Game 29: Winner: Tibor, Type: Random AI
Game 30: Winner: Teodóra, Type: Simple AI
Game 31: Winner: Teodóra, Type: Simple AI
Game 32: Winner: Teodóra, Type: Simple AI
Game 33: Winner: Tibor, Type: Random AI
Game 34: Winner: Tibor, Type: Random AI
Game 35: Winner: Teodóra, Type: Simple AI
Game 36: Winner: Teodóra, Type: Simple AI
Game 37: Winner: Teodóra, Type: Simple AI
Game 38: Winner: Teodóra, Type: Simple AI
Game 39: Winner: Tibor, Type: Random AI
Game 40: Winner: Teodóra, Type: Simple AI
Game 41: Winner: Tibor, Type: Random AI
Game 42: Winner: Teodóra, Type: Simple AI
Game 43: Winner: Tibor, Type: Random AI
Game 44: Winner: Tibor, Type: Random AI
Game 45: Winner: Teodóra, Type: Simple AI
Game 46: Winner: Teodóra, Type: Simple AI
Game 47: Winner: Teodóra, Type: Simple AI
Game 48: Winner: Teodóra, Type: Simple AI
Game 49: Winner: Tibor, Type: Random AI
Game 50: Winner: Teodóra, Type: Simple AI
Game 51: Winner: Tibor, Type: Random AI
Game 52: Winner: Teodóra, Type: Simple AI
Game 53: Winner: Tibor, Type: Random AI
Game 54: Winner: Tibor, Type: Random AI
Game 55: Winner: Teodóra, Type: Simple AI
