Players:
Ilona (Random AI) 
Anett (Simple AI) 

Results:
Anett (Simple AI) won 66 games (66%)
Ilona (Random AI) won 34 games (34%)

Games:
Game 0: Winner: Anett, Type: Simple AI
Game 1: Winner: Anett, Type: Simple AI
Game 2: Winner: Ilona, Type: Random AI
Game 3: Winner: Ilona, Type: Random AI
Game 4: Winner: Anett, Type: Simple AI
Game 5: Winner: Anett, Type: Simple AI
Game 6: Winner: Anett, Type: Simple AI
Game 7: Winner: Anett, Type: Simple AI
Game 8: Winner: Ilona, Type: Random AI
Game 9: Winner: Ilona, Type: Random AI
Game 10: Winner: Ilona, Type: Random AI
Game 11: Winner: Anett, Type: Simple AI
Game 12: Winner: Anett, Type: Simple AI
Game 13: Winner: Ilona, Type: Random AI
Game 14: Winner: Ilona, Type: Random AI
Game 15: Winner: Anett, Type: Simple AI
Game 16: Winner: Ilona, Type: Random AI
Game 17: Winner: Anett, Type: Simple AI
Game 18: Winner: Anett, Type: Simple AI
Game 19: Winner: Anett, Type: Simple AI
Game 20: Winner: Anett, Type: Simple AI
Game 21: Winner: Anett, Type: Simple AI
Game 22: Winner: Anett, Type: Simple AI
Game 23: Winner: Anett, Type: Simple AI
Game 24: Winner: Anett, Type: Simple AI
Game 25: Winner: Ilona, Type: Random AI
Game 26: Winner: Anett, Type: Simple AI
Game 27: Winner: Ilona, Type: Random AI
Game 28: Winner: Anett, Type: Simple AI
Game 29: Winner: Anett, Type: Simple AI
Game 30: Winner: Ilona, Type: Random AI
Game 31: Winner: Ilona, Type: Random AI
Game 32: Winner: Ilona, Type: Random AI
Game 33: Winner: Ilona, Type: Random AI
Game 34: Winner: Anett, Type: Simple AI
Game 35: Winner: Anett, Type: Simple AI
Game 36: Winner: Anett, Type: Simple AI
Game 37: Winner: Anett, Type: Simple AI
Game 38: Winner: Anett, Type: Simple AI
Game 39: Winner: Ilona, Type: Random AI
Game 40: Winner: Ilona, Type: Random AI
Game 41: Winner: Anett, Type: Simple AI
Game 42: Winner: Anett, Type: Simple AI
Game 43: Winner: Anett, Type: Simple AI
Game 44: Winner: Anett, Type: Simple AI
Game 45: Winner: Anett, Type: Simple AI
Game 46: Winner: Anett, Type: Simple AI
Game 47: Winner: Anett, Type: Simple AI
Game 48: Winner: Anett, Type: Simple AI
Game 49: Winner: Anett, Type: Simple AI
Game 50: Winner: Ilona, Type: Random AI
Game 51: Winner: Anett, Type: Simple AI
Game 52: Winner: Anett, Type: Simple AI
Game 53: Winner: Ilona, Type: Random AI
Game 54: Winner: Ilona, Type: Random AI
Game 55: Winner: Anett, Type: Simple AI
Game 56: Winner: Anett, Type: Simple AI
Game 57: Winner: Anett, Type: Simple AI
Game 58: Winner: Ilona, Type: Random AI
Game 59: Winner: Anett, Type: Simple AI
Game 60: Winner: Anett, Type: Simple AI
Game 61: Winner: Ilona, Type: Random AI
Game 62: Winner: Anett, Type: Simple AI
Game 63: Winner: Anett, Type: Simple AI
Game 64: Winner: Ilona, Type: Random AI
Game 65: Winner: Anett, Type: Simple AI
Game 66: Winner: Ilona, Type: Random AI
Game 67: Winner: Anett, Type: Simple AI
Game 68: Winner: Ilona, Type: Random AI
Game 69: Winner: Anett, Type: Simple AI
Game 70: Winner: Anett, Type: Simple AI
Game 71: Winner: Anett, Type: Simple AI
Game 72: Winner: Ilona, Type: Random AI
Game 73: Winner: Anett, Type: Simple AI
Game 74: Winner: Anett, Type: Simple AI
Game 75: Winner: Anett, Type: Simple AI
Game 76: Winner: Anett, Type: Simple AI
Game 77: Winner: Anett, Type: Simple AI
Game 78: Winner: Ilona, Type: Random AI
Game 79: Winner: Anett, Type: Simple AI
Game 80: Winner: Anett, Type: Simple AI
Game 81: Winner: Anett, Type: Simple AI
Game 82: Winner: Ilona, Type: Random AI
Game 83: Winner: Anett, Type: Simple AI
Game 84: Winner: Ilona, Type: Random AI
Game 85: Winner: Ilona, Type: Random AI
Game 86: Winner: Ilona, Type: Random AI
Game 87: Winner: Anett, Type: Simple AI
Game 88: Winner: Anett, Type: Simple AI
Game 89: Winner: Anett, Type: Simple AI
Game 90: Winner: Ilona, Type: Random AI
Game 91: Winner: Anett, Type: Simple AI
Game 92: Winner: Anett, Type: Simple AI
Game 93: Winner: Anett, Type: Simple AI
Game 94: Winner: Ilona, Type: Random AI
Game 95: Winner: Anett, Type: Simple AI
Game 96: Winner: Anett, Type: Simple AI
Game 97: Winner: Ilona, Type: Random AI
Game 98: Winner: Anett, Type: Simple AI
Game 99: Winner: Ilona, Type: Random AI
