Players:
Ilona (Random AI) 
Anett (Simple AI) 

Results:
Anett (Simple AI) won 309 games (61,8%)
Ilona (Random AI) won 191 games (38,2%)

Games:
Game 0: Winner: Anett, Type: Simple AI
Game 1: Winner: Ilona, Type: Random AI
Game 2: Winner: Anett, Type: Simple AI
Game 3: Winner: Ilona, Type: Random AI
Game 4: Winner: Ilona, Type: Random AI
Game 5: Winner: Anett, Type: Simple AI
Game 6: Winner: Anett, Type: Simple AI
Game 7: Winner: Anett, Type: Simple AI
Game 8: Winner: Ilona, Type: Random AI
Game 9: Winner: Anett, Type: Simple AI
Game 10: Winner: Ilona, Type: Random AI
Game 11: Winner: Anett, Type: Simple AI
Game 12: Winner: Ilona, Type: Random AI
Game 13: Winner: Anett, Type: Simple AI
Game 14: Winner: Anett, Type: Simple AI
Game 15: Winner: Anett, Type: Simple AI
Game 16: Winner: Anett, Type: Simple AI
Game 17: Winner: Anett, Type: Simple AI
Game 18: Winner: Ilona, Type: Random AI
Game 19: Winner: Anett, Type: Simple AI
Game 20: Winner: Ilona, Type: Random AI
Game 21: Winner: Anett, Type: Simple AI
Game 22: Winner: Anett, Type: Simple AI
Game 23: Winner: Anett, Type: Simple AI
Game 24: Winner: Ilona, Type: Random AI
Game 25: Winner: Ilona, Type: Random AI
Game 26: Winner: Anett, Type: Simple AI
Game 27: Winner: Anett, Type: Simple AI
Game 28: Winner: Anett, Type: Simple AI
Game 29: Winner: Anett, Type: Simple AI
Game 30: Winner: Ilona, Type: Random AI
Game 31: Winner: Ilona, Type: Random AI
Game 32: Winner: Ilona, Type: Random AI
Game 33: Winner: Ilona, Type: Random AI
Game 34: Winner: Ilona, Type: Random AI
Game 35: Winner: Ilona, Type: Random AI
Game 36: Winner: Anett, Type: Simple AI
Game 37: Winner: Anett, Type: Simple AI
Game 38: Winner: Anett, Type: Simple AI
Game 39: Winner: Ilona, Type: Random AI
Game 40: Winner: Anett, Type: Simple AI
Game 41: Winner: Anett, Type: Simple AI
Game 42: Winner: Anett, Type: Simple AI
Game 43: Winner: Ilona, Type: Random AI
Game 44: Winner: Anett, Type: Simple AI
Game 45: Winner: Anett, Type: Simple AI
Game 46: Winner: Anett, Type: Simple AI
Game 47: Winner: Anett, Type: Simple AI
Game 48: Winner: Ilona, Type: Random AI
Game 49: Winner: Anett, Type: Simple AI
Game 50: Winner: Anett, Type: Simple AI
Game 51: Winner: Anett, Type: Simple AI
Game 52: Winner: Anett, Type: Simple AI
Game 53: Winner: Anett, Type: Simple AI
Game 54: Winner: Anett, Type: Simple AI
Game 55: Winner: Ilona, Type: Random AI
Game 56: Winner: Ilona, Type: Random AI
Game 57: Winner: Anett, Type: Simple AI
Game 58: Winner: Anett, Type: Simple AI
Game 59: Winner: Anett, Type: Simple AI
Game 60: Winner: Anett, Type: Simple AI
Game 61: Winner: Anett, Type: Simple AI
Game 62: Winner: Anett, Type: Simple AI
Game 63: Winner: Ilona, Type: Random AI
Game 64: Winner: Anett, Type: Simple AI
Game 65: Winner: Ilona, Type: Random AI
Game 66: Winner: Ilona, Type: Random AI
Game 67: Winner: Anett, Type: Simple AI
Game 68: Winner: Anett, Type: Simple AI
Game 69: Winner: Anett, Type: Simple AI
Game 70: Winner: Ilona, Type: Random AI
Game 71: Winner: Ilona, Type: Random AI
Game 72: Winner: Anett, Type: Simple AI
Game 73: Winner: Anett, Type: Simple AI
Game 74: Winner: Anett, Type: Simple AI
Game 75: Winner: Anett, Type: Simple AI
Game 76: Winner: Anett, Type: Simple AI
Game 77: Winner: Ilona, Type: Random AI
Game 78: Winner: Anett, Type: Simple AI
Game 79: Winner: Anett, Type: Simple AI
Game 80: Winner: Anett, Type: Simple AI
Game 81: Winner: Anett, Type: Simple AI
Game 82: Winner: Anett, Type: Simple AI
Game 83: Winner: Ilona, Type: Random AI
Game 84: Winner: Anett, Type: Simple AI
Game 85: Winner: Anett, Type: Simple AI
Game 86: Winner: Anett, Type: Simple AI
Game 87: Winner: Anett, Type: Simple AI
Game 88: Winner: Anett, Type: Simple AI
Game 89: Winner: Ilona, Type: Random AI
Game 90: Winner: Ilona, Type: Random AI
Game 91: Winner: Anett, Type: Simple AI
Game 92: Winner: Anett, Type: Simple AI
Game 93: Winner: Anett, Type: Simple AI
Game 94: Winner: Ilona, Type: Random AI
Game 95: Winner: Ilona, Type: Random AI
Game 96: Winner: Anett, Type: Simple AI
Game 97: Winner: Anett, Type: Simple AI
Game 98: Winner: Ilona, Type: Random AI
Game 99: Winner: Ilona, Type: Random AI
Game 100: Winner: Ilona, Type: Random AI
Game 101: Winner: Anett, Type: Simple AI
Game 102: Winner: Anett, Type: Simple AI
Game 103: Winner: Ilona, Type: Random AI
Game 104: Winner: Anett, Type: Simple AI
Game 105: Winner: Ilona, Type: Random AI
Game 106: Winner: Anett, Type: Simple AI
Game 107: Winner: Ilona, Type: Random AI
Game 108: Winner: Anett, Type: Simple AI
Game 109: Winner: Ilona, Type: Random AI
Game 110: Winner: Ilona, Type: Random AI
Game 111: Winner: Ilona, Type: Random AI
Game 112: Winner: Anett, Type: Simple AI
Game 113: Winner: Anett, Type: Simple AI
Game 114: Winner: Anett, Type: Simple AI
Game 115: Winner: Ilona, Type: Random AI
