Players:
Mária (Random AI) 
Ilona (Simple AI) 

Results:
Ilona (Simple AI) won 62 games (62%)
Mária (Random AI) won 38 games (38%)

Games:
Game 0: Winner: Ilona, Type: Simple AI
Game 1: Winner: Ilona, Type: Simple AI
Game 2: Winner: Ilona, Type: Simple AI
Game 3: Winner: Ilona, Type: Simple AI
Game 4: Winner: Mária, Type: Random AI
Game 5: Winner: Mária, Type: Random AI
Game 6: Winner: Ilona, Type: Simple AI
Game 7: Winner: Ilona, Type: Simple AI
Game 8: Winner: Ilona, Type: Simple AI
Game 9: Winner: Ilona, Type: Simple AI
Game 10: Winner: Ilona, Type: Simple AI
Game 11: Winner: Mária, Type: Random AI
Game 12: Winner: Ilona, Type: Simple AI
Game 13: Winner: Mária, Type: Random AI
Game 14: Winner: Mária, Type: Random AI
Game 15: Winner: Ilona, Type: Simple AI
Game 16: Winner: Ilona, Type: Simple AI
Game 17: Winner: Ilona, Type: Simple AI
Game 18: Winner: Mária, Type: Random AI
Game 19: Winner: Ilona, Type: Simple AI
Game 20: Winner: Mária, Type: Random AI
Game 21: Winner: Ilona, Type: Simple AI
Game 22: Winner: Mária, Type: Random AI
Game 23: Winner: Ilona, Type: Simple AI
Game 24: Winner: Ilona, Type: Simple AI
Game 25: Winner: Mária, Type: Random AI
Game 26: Winner: Mária, Type: Random AI
Game 27: Winner: Ilona, Type: Simple AI
Game 28: Winner: Mária, Type: Random AI
Game 29: Winner: Ilona, Type: Simple AI
Game 30: Winner: Ilona, Type: Simple AI
Game 31: Winner: Ilona, Type: Simple AI
Game 32: Winner: Mária, Type: Random AI
Game 33: Winner: Mária, Type: Random AI
Game 34: Winner: Ilona, Type: Simple AI
Game 35: Winner: Ilona, Type: Simple AI
Game 36: Winner: Ilona, Type: Simple AI
Game 37: Winner: Ilona, Type: Simple AI
Game 38: Winner: Ilona, Type: Simple AI
Game 39: Winner: Ilona, Type: Simple AI
Game 40: Winner: Mária, Type: Random AI
Game 41: Winner: Mária, Type: Random AI
Game 42: Winner: Ilona, Type: Simple AI
Game 43: Winner: Ilona, Type: Simple AI
Game 44: Winner: Ilona, Type: Simple AI
Game 45: Winner: Ilona, Type: Simple AI
Game 46: Winner: Ilona, Type: Simple AI
Game 47: Winner: Ilona, Type: Simple AI
Game 48: Winner: Ilona, Type: Simple AI
Game 49: Winner: Ilona, Type: Simple AI
Game 50: Winner: Ilona, Type: Simple AI
Game 51: Winner: Ilona, Type: Simple AI
Game 52: Winner: Ilona, Type: Simple AI
Game 53: Winner: Ilona, Type: Simple AI
Game 54: Winner: Mária, Type: Random AI
Game 55: Winner: Ilona, Type: Simple AI
Game 56: Winner: Ilona, Type: Simple AI
Game 57: Winner: Ilona, Type: Simple AI
Game 58: Winner: Mária, Type: Random AI
Game 59: Winner: Ilona, Type: Simple AI
Game 60: Winner: Mária, Type: Random AI
Game 61: Winner: Ilona, Type: Simple AI
Game 62: Winner: Mária, Type: Random AI
Game 63: Winner: Mária, Type: Random AI
Game 64: Winner: Mária, Type: Random AI
Game 65: Winner: Mária, Type: Random AI
Game 66: Winner: Ilona, Type: Simple AI
Game 67: Winner: Ilona, Type: Simple AI
Game 68: Winner: Mária, Type: Random AI
Game 69: Winner: Mária, Type: Random AI
Game 70: Winner: Ilona, Type: Simple AI
Game 71: Winner: Ilona, Type: Simple AI
Game 72: Winner: Mária, Type: Random AI
Game 73: Winner: Ilona, Type: Simple AI
Game 74: Winner: Mária, Type: Random AI
Game 75: Winner: Mária, Type: Random AI
Game 76: Winner: Mária, Type: Random AI
Game 77: Winner: Mária, Type: Random AI
Game 78: Winner: Ilona, Type: Simple AI
Game 79: Winner: Ilona, Type: Simple AI
Game 80: Winner: Ilona, Type: Simple AI
Game 81: Winner: Ilona, Type: Simple AI
Game 82: Winner: Mária, Type: Random AI
Game 83: Winner: Mária, Type: Random AI
Game 84: Winner: Ilona, Type: Simple AI
Game 85: Winner: Mária, Type: Random AI
Game 86: Winner: Ilona, Type: Simple AI
Game 87: Winner: Mária, Type: Random AI
Game 88: Winner: Ilona, Type: Simple AI
Game 89: Winner: Mária, Type: Random AI
Game 90: Winner: Ilona, Type: Simple AI
Game 91: Winner: Mária, Type: Random AI
Game 92: Winner: Mária, Type: Random AI
Game 93: Winner: Mária, Type: Random AI
Game 94: Winner: Ilona, Type: Simple AI
Game 95: Winner: Mária, Type: Random AI
Game 96: Winner: Ilona, Type: Simple AI
Game 97: Winner: Ilona, Type: Simple AI
Game 98: Winner: Ilona, Type: Simple AI
Game 99: Winner: Ilona, Type: Simple AI
