Players:
Mária (Random AI) 
Ilona (Simple AI) 

Results:
Ilona (Simple AI) won 344 games (68,8%)
Mária (Random AI) won 156 games (31,2%)

Games:
Game 0: Winner: Ilona, Type: Simple AI
Game 1: Winner: Ilona, Type: Simple AI
Game 2: Winner: Ilona, Type: Simple AI
Game 3: Winner: Mária, Type: Random AI
Game 4: Winner: Mária, Type: Random AI
Game 5: Winner: Ilona, Type: Simple AI
Game 6: Winner: Mária, Type: Random AI
Game 7: Winner: Ilona, Type: Simple AI
Game 8: Winner: Ilona, Type: Simple AI
Game 9: Winner: Ilona, Type: Simple AI
Game 10: Winner: Mária, Type: Random AI
Game 11: Winner: Mária, Type: Random AI
Game 12: Winner: Ilona, Type: Simple AI
Game 13: Winner: Ilona, Type: Simple AI
Game 14: Winner: Mária, Type: Random AI
Game 15: Winner: Ilona, Type: Simple AI
Game 16: Winner: Mária, Type: Random AI
Game 17: Winner: Ilona, Type: Simple AI
Game 18: Winner: Mária, Type: Random AI
Game 19: Winner: Ilona, Type: Simple AI
Game 20: Winner: Mária, Type: Random AI
Game 21: Winner: Mária, Type: Random AI
Game 22: Winner: Ilona, Type: Simple AI
Game 23: Winner: Ilona, Type: Simple AI
Game 24: Winner: Ilona, Type: Simple AI
Game 25: Winner: Ilona, Type: Simple AI
Game 26: Winner: Mária, Type: Random AI
Game 27: Winner: Mária, Type: Random AI
Game 28: Winner: Ilona, Type: Simple AI
Game 29: Winner: Ilona, Type: Simple AI
Game 30: Winner: Mária, Type: Random AI
Game 31: Winner: Ilona, Type: Simple AI
Game 32: Winner: Ilona, Type: Simple AI
Game 33: Winner: Ilona, Type: Simple AI
Game 34: Winner: Mária, Type: Random AI
Game 35: Winner: Mária, Type: Random AI
Game 36: Winner: Ilona, Type: Simple AI
Game 37: Winner: Ilona, Type: Simple AI
Game 38: Winner: Ilona, Type: Simple AI
Game 39: Winner: Mária, Type: Random AI
Game 40: Winner: Mária, Type: Random AI
Game 41: Winner: Mária, Type: Random AI
Game 42: Winner: Ilona, Type: Simple AI
Game 43: Winner: Ilona, Type: Simple AI
Game 44: Winner: Ilona, Type: Simple AI
Game 45: Winner: Ilona, Type: Simple AI
Game 46: Winner: Ilona, Type: Simple AI
Game 47: Winner: Ilona, Type: Simple AI
Game 48: Winner: Ilona, Type: Simple AI
Game 49: Winner: Ilona, Type: Simple AI
Game 50: Winner: Ilona, Type: Simple AI
Game 51: Winner: Ilona, Type: Simple AI
Game 52: Winner: Ilona, Type: Simple AI
Game 53: Winner: Ilona, Type: Simple AI
Game 54: Winner: Ilona, Type: Simple AI
Game 55: Winner: Ilona, Type: Simple AI
Game 56: Winner: Mária, Type: Random AI
Game 57: Winner: Mária, Type: Random AI
Game 58: Winner: Ilona, Type: Simple AI
Game 59: Winner: Mária, Type: Random AI
Game 60: Winner: Mária, Type: Random AI
Game 61: Winner: Ilona, Type: Simple AI
Game 62: Winner: Mária, Type: Random AI
Game 63: Winner: Ilona, Type: Simple AI
Game 64: Winner: Ilona, Type: Simple AI
Game 65: Winner: Ilona, Type: Simple AI
Game 66: Winner: Ilona, Type: Simple AI
Game 67: Winner: Ilona, Type: Simple AI
Game 68: Winner: Ilona, Type: Simple AI
Game 69: Winner: Mária, Type: Random AI
Game 70: Winner: Mária, Type: Random AI
Game 71: Winner: Ilona, Type: Simple AI
Game 72: Winner: Ilona, Type: Simple AI
Game 73: Winner: Ilona, Type: Simple AI
Game 74: Winner: Mária, Type: Random AI
Game 75: Winner: Mária, Type: Random AI
Game 76: Winner: Ilona, Type: Simple AI
Game 77: Winner: Ilona, Type: Simple AI
Game 78: Winner: Ilona, Type: Simple AI
Game 79: Winner: Ilona, Type: Simple AI
Game 80: Winner: Mária, Type: Random AI
Game 81: Winner: Ilona, Type: Simple AI
Game 82: Winner: Ilona, Type: Simple AI
Game 83: Winner: Ilona, Type: Simple AI
Game 84: Winner: Ilona, Type: Simple AI
Game 85: Winner: Ilona, Type: Simple AI
Game 86: Winner: Ilona, Type: Simple AI
Game 87: Winner: Mária, Type: Random AI
Game 88: Winner: Ilona, Type: Simple AI
Game 89: Winner: Ilona, Type: Simple AI
Game 90: Winner: Ilona, Type: Simple AI
Game 91: Winner: Ilona, Type: Simple AI
Game 92: Winner: Mária, Type: Random AI
Game 93: Winner: Mária, Type: Random AI
Game 94: Winner: Ilona, Type: Simple AI
Game 95: Winner: Ilona, Type: Simple AI
Game 96: Winner: Ilona, Type: Simple AI
Game 97: Winner: Ilona, Type: Simple AI
Game 98: Winner: Ilona, Type: Simple AI
Game 99: Winner: Ilona, Type: Simple AI
Game 100: Winner: Ilona, Type: Simple AI
Game 101: Winner: Ilona, Type: Simple AI
Game 102: Winner: Ilona, Type: Simple AI
Game 103: Winner: Ilona, Type: Simple AI
Game 104: Winner: Ilona, Type: Simple AI
Game 105: Winner: Mária, Type: Random AI
Game 106: Winner: Ilona, Type: Simple AI
Game 107: Winner: Mária, Type: Random AI
Game 108: Winner: Ilona, Type: Simple AI
Game 109: Winner: Mária, Type: Random AI
Game 110: Winner: Ilona, Type: Simple AI
Game 111: Winner: Ilona, Type: Simple AI
Game 112: Winner: Ilona, Type: Simple AI
Game 113: Winner: Ilona, Type: Simple AI
Game 114: Winner: Ilona, Type: Simple AI
Game 115: Winner: Mária, Type: Random AI
Game 116: Winner: Ilona, Type: Simple AI
Game 117: Winner: Ilona, Type: Simple AI
Game 118: Winner: Mária, Type: Random AI
Game 119: Winner: Ilona, Type: Simple AI
Game 120: Winner: Ilona, Type: Simple AI
Game 121: Winner: Ilona, Type: Simple AI
Game 122: Winner: Ilona, Type: Simple AI
Game 123: Winner: Ilona, Type: Simple AI
Game 124: Winner: Ilona, Type: Simple AI
Game 125: Winner: Mária, Type: Random AI
Game 126: Winner: Ilona, Type: Simple AI
Game 127: Winner: Mária, Type: Random AI
Game 128: Winner: Ilona, Type: Simple AI
Game 129: Winner: Ilona, Type: Simple AI
Game 130: Winner: Ilona, Type: Simple AI
Game 131: Winner: Ilona, Type: Simple AI
Game 132: Winner: Mária, Type: Random AI
Game 133: Winner: Ilona, Type: Simple AI
Game 134: Winner: Ilona, Type: Simple AI
Game 135: Winner: Ilona, Type: Simple AI
Game 136: Winner: Ilona, Type: Simple AI
Game 137: Winner: Ilona, Type: Simple AI
Game 138: Winner: Mária, Type: Random AI
Game 139: Winner: Ilona, Type: Simple AI
Game 140: Winner: Ilona, Type: Simple AI
Game 141: Winner: Ilona, Type: Simple AI
Game 142: Winner: Ilona, Type: Simple AI
Game 143: Winner: Ilona, Type: Simple AI
Game 144: Winner: Ilona, Type: Simple AI
Game 145: Winner: Mária, Type: Random AI
Game 146: Winner: Ilona, Type: Simple AI
Game 147: Winner: Mária, Type: Random AI
Game 148: Winner: Ilona, Type: Simple AI
Game 149: Winner: Ilona, Type: Simple AI
Game 150: Winner: Ilona, Type: Simple AI
Game 151: Winner: Ilona, Type: Simple AI
Game 152: Winner: Mária, Type: Random AI
Game 153: Winner: Mária, Type: Random AI
Game 154: Winner: Ilona, Type: Simple AI
Game 155: Winner: Ilona, Type: Simple AI
Game 156: Winner: Mária, Type: Random AI
Game 157: Winner: Mária, Type: Random AI
Game 158: Winner: Mária, Type: Random AI
Game 159: Winner: Ilona, Type: Simple AI
Game 160: Winner: Ilona, Type: Simple AI
Game 161: Winner: Ilona, Type: Simple AI
Game 162: Winner: Mária, Type: Random AI
Game 163: Winner: Ilona, Type: Simple AI
Game 164: Winner: Ilona, Type: Simple AI
Game 165: Winner: Mária, Type: Random AI
Game 166: Winner: Ilona, Type: Simple AI
Game 167: Winner: Ilona, Type: Simple AI
Game 168: Winner: Ilona, Type: Simple AI
Game 169: Winner: Ilona, Type: Simple AI
Game 170: Winner: Mária, Type: Random AI
Game 171: Winner: Ilona, Type: Simple AI
Game 172: Winner: Mária, Type: Random AI
Game 173: Winner: Ilona, Type: Simple AI
Game 174: Winner: Ilona, Type: Simple AI
Game 175: Winner: Ilona, Type: Simple AI
Game 176: Winner: Ilona, Type: Simple AI
Game 177: Winner: Mária, Type: Random AI
Game 178: Winner: Ilona, Type: Simple AI
Game 179: Winner: Ilona, Type: Simple AI
Game 180: Winner: Mária, Type: Random AI
Game 181: Winner: Ilona, Type: Simple AI
Game 182: Winner: Ilona, Type: Simple AI
Game 183: Winner: Mária, Type: Random AI
Game 184: Winner: Ilona, Type: Simple AI
Game 185: Winner: Ilona, Type: Simple AI
Game 186: Winner: Ilona, Type: Simple AI
Game 187: Winner: Mária, Type: Random AI
Game 188: Winner: Ilona, Type: Simple AI
Game 189: Winner: Ilona, Type: Simple AI
Game 190: Winner: Ilona, Type: Simple AI
Game 191: Winner: Ilona, Type: Simple AI
Game 192: Winner: Mária, Type: Random AI
Game 193: Winner: Ilona, Type: Simple AI
Game 194: Winner: Ilona, Type: Simple AI
Game 195: Winner: Mária, Type: Random AI
Game 196: Winner: Mária, Type: Random AI
Game 197: Winner: Mária, Type: Random AI
Game 198: Winner: Mária, Type: Random AI
Game 199: Winner: Ilona, Type: Simple AI
Game 200: Winner: Ilona, Type: Simple AI
Game 201: Winner: Ilona, Type: Simple AI
Game 202: Winner: Ilona, Type: Simple AI
Game 203: Winner: Mária, Type: Random AI
Game 204: Winner: Mária, Type: Random AI
Game 205: Winner: Ilona, Type: Simple AI
Game 206: Winner: Ilona, Type: Simple AI
Game 207: Winner: Ilona, Type: Simple AI
Game 208: Winner: Mária, Type: Random AI
Game 209: Winner: Ilona, Type: Simple AI
Game 210: Winner: Ilona, Type: Simple AI
Game 211: Winner: Ilona, Type: Simple AI
Game 212: Winner: Ilona, Type: Simple AI
Game 213: Winner: Ilona, Type: Simple AI
Game 214: Winner: Mária, Type: Random AI
Game 215: Winner: Ilona, Type: Simple AI
Game 216: Winner: Ilona, Type: Simple AI
Game 217: Winner: Ilona, Type: Simple AI
Game 218: Winner: Ilona, Type: Simple AI
Game 219: Winner: Mária, Type: Random AI
Game 220: Winner: Mária, Type: Random AI
Game 221: Winner: Mária, Type: Random AI
Game 222: Winner: Ilona, Type: Simple AI
Game 223: Winner: Mária, Type: Random AI
Game 224: Winner: Mária, Type: Random AI
Game 225: Winner: Ilona, Type: Simple AI
Game 226: Winner: Ilona, Type: Simple AI
Game 227: Winner: Ilona, Type: Simple AI
Game 228: Winner: Mária, Type: Random AI
Game 229: Winner: Ilona, Type: Simple AI
Game 230: Winner: Mária, Type: Random AI
Game 231: Winner: Mária, Type: Random AI
Game 232: Winner: Ilona, Type: Simple AI
Game 233: Winner: Ilona, Type: Simple AI
Game 234: Winner: Mária, Type: Random AI
Game 235: Winner: Mária, Type: Random AI
Game 236: Winner: Ilona, Type: Simple AI
Game 237: Winner: Ilona, Type: Simple AI
Game 238: Winner: Ilona, Type: Simple AI
Game 239: Winner: Ilona, Type: Simple AI
Game 240: Winner: Ilona, Type: Simple AI
Game 241: Winner: Ilona, Type: Simple AI
Game 242: Winner: Mária, Type: Random AI
Game 243: Winner: Mária, Type: Random AI
Game 244: Winner: Mária, Type: Random AI
Game 245: Winner: Mária, Type: Random AI
Game 246: Winner: Mária, Type: Random AI
Game 247: Winner: Ilona, Type: Simple AI
Game 248: Winner: Ilona, Type: Simple AI
Game 249: Winner: Ilona, Type: Simple AI
Game 250: Winner: Ilona, Type: Simple AI
Game 251: Winner: Ilona, Type: Simple AI
Game 252: Winner: Mária, Type: Random AI
Game 253: Winner: Ilona, Type: Simple AI
Game 254: Winner: Mária, Type: Random AI
Game 255: Winner: Ilona, Type: Simple AI
