Players:
Péter (Random AI) 
Sándor (Simple AI) 

Results:
Sándor (Simple AI) won 91 games (91%)
Péter (Random AI) won 9 games (9%)

Games:
Game 0: Winner: Sándor, Type: Simple AI
Game 1: Winner: Sándor, Type: Simple AI
Game 2: Winner: Sándor, Type: Simple AI
Game 3: Winner: Sándor, Type: Simple AI
Game 4: Winner: Sándor, Type: Simple AI
Game 5: Winner: Sándor, Type: Simple AI
Game 6: Winner: Sándor, Type: Simple AI
Game 7: Winner: Sándor, Type: Simple AI
Game 8: Winner: Sándor, Type: Simple AI
Game 9: Winner: Sándor, Type: Simple AI
Game 10: Winner: Sándor, Type: Simple AI
Game 11: Winner: Sándor, Type: Simple AI
Game 12: Winner: Sándor, Type: Simple AI
Game 13: Winner: Sándor, Type: Simple AI
Game 14: Winner: Sándor, Type: Simple AI
Game 15: Winner: Sándor, Type: Simple AI
Game 16: Winner: Sándor, Type: Simple AI
Game 17: Winner: Péter, Type: Random AI
Game 18: Winner: Sándor, Type: Simple AI
Game 19: Winner: Sándor, Type: Simple AI
Game 20: Winner: Sándor, Type: Simple AI
Game 21: Winner: Sándor, Type: Simple AI
Game 22: Winner: Sándor, Type: Simple AI
Game 23: Winner: Sándor, Type: Simple AI
Game 24: Winner: Sándor, Type: Simple AI
Game 25: Winner: Sándor, Type: Simple AI
Game 26: Winner: Sándor, Type: Simple AI
Game 27: Winner: Sándor, Type: Simple AI
Game 28: Winner: Péter, Type: Random AI
Game 29: Winner: Péter, Type: Random AI
Game 30: Winner: Sándor, Type: Simple AI
Game 31: Winner: Sándor, Type: Simple AI
Game 32: Winner: Sándor, Type: Simple AI
Game 33: Winner: Sándor, Type: Simple AI
Game 34: Winner: Sándor, Type: Simple AI
Game 35: Winner: Sándor, Type: Simple AI
Game 36: Winner: Sándor, Type: Simple AI
Game 37: Winner: Sándor, Type: Simple AI
Game 38: Winner: Péter, Type: Random AI
Game 39: Winner: Sándor, Type: Simple AI
Game 40: Winner: Sándor, Type: Simple AI
Game 41: Winner: Sándor, Type: Simple AI
Game 42: Winner: Sándor, Type: Simple AI
Game 43: Winner: Sándor, Type: Simple AI
Game 44: Winner: Sándor, Type: Simple AI
Game 45: Winner: Sándor, Type: Simple AI
Game 46: Winner: Sándor, Type: Simple AI
Game 47: Winner: Sándor, Type: Simple AI
Game 48: Winner: Sándor, Type: Simple AI
Game 49: Winner: Sándor, Type: Simple AI
Game 50: Winner: Sándor, Type: Simple AI
Game 51: Winner: Sándor, Type: Simple AI
Game 52: Winner: Sándor, Type: Simple AI
Game 53: Winner: Sándor, Type: Simple AI
Game 54: Winner: Péter, Type: Random AI
Game 55: Winner: Sándor, Type: Simple AI
Game 56: Winner: Sándor, Type: Simple AI
Game 57: Winner: Sándor, Type: Simple AI
Game 58: Winner: Sándor, Type: Simple AI
Game 59: Winner: Sándor, Type: Simple AI
Game 60: Winner: Sándor, Type: Simple AI
Game 61: Winner: Sándor, Type: Simple AI
Game 62: Winner: Sándor, Type: Simple AI
Game 63: Winner: Sándor, Type: Simple AI
Game 64: Winner: Péter, Type: Random AI
Game 65: Winner: Sándor, Type: Simple AI
Game 66: Winner: Sándor, Type: Simple AI
Game 67: Winner: Sándor, Type: Simple AI
Game 68: Winner: Sándor, Type: Simple AI
Game 69: Winner: Sándor, Type: Simple AI
Game 70: Winner: Sándor, Type: Simple AI
Game 71: Winner: Sándor, Type: Simple AI
Game 72: Winner: Sándor, Type: Simple AI
Game 73: Winner: Sándor, Type: Simple AI
Game 74: Winner: Sándor, Type: Simple AI
Game 75: Winner: Péter, Type: Random AI
Game 76: Winner: Sándor, Type: Simple AI
Game 77: Winner: Sándor, Type: Simple AI
Game 78: Winner: Sándor, Type: Simple AI
Game 79: Winner: Sándor, Type: Simple AI
Game 80: Winner: Sándor, Type: Simple AI
Game 81: Winner: Sándor, Type: Simple AI
Game 82: Winner: Sándor, Type: Simple AI
Game 83: Winner: Sándor, Type: Simple AI
Game 84: Winner: Péter, Type: Random AI
Game 85: Winner: Sándor, Type: Simple AI
Game 86: Winner: Sándor, Type: Simple AI
Game 87: Winner: Sándor, Type: Simple AI
Game 88: Winner: Sándor, Type: Simple AI
Game 89: Winner: Sándor, Type: Simple AI
Game 90: Winner: Sándor, Type: Simple AI
Game 91: Winner: Sándor, Type: Simple AI
Game 92: Winner: Sándor, Type: Simple AI
Game 93: Winner: Sándor, Type: Simple AI
Game 94: Winner: Sándor, Type: Simple AI
Game 95: Winner: Sándor, Type: Simple AI
Game 96: Winner: Sándor, Type: Simple AI
Game 97: Winner: Sándor, Type: Simple AI
Game 98: Winner: Sándor, Type: Simple AI
Game 99: Winner: Péter, Type: Random AI
