Players:
Krisztián (Random AI) 
Borbála (Simple AI) 

Results:
Borbála (Simple AI) won 53 games (53%)
Krisztián (Random AI) won 47 games (47%)

Games:
Game 0: Winner: Borbála, Type: Simple AI
Game 1: Winner: Borbála, Type: Simple AI
Game 2: Winner: Borbála, Type: Simple AI
Game 3: Winner: Krisztián, Type: Random AI
Game 4: Winner: Borbála, Type: Simple AI
Game 5: Winner: Krisztián, Type: Random AI
Game 6: Winner: Borbála, Type: Simple AI
Game 7: Winner: Borbála, Type: Simple AI
Game 8: Winner: Borbála, Type: Simple AI
Game 9: Winner: Borbála, Type: Simple AI
Game 10: Winner: Krisztián, Type: Random AI
Game 11: Winner: Borbála, Type: Simple AI
Game 12: Winner: Borbála, Type: Simple AI
Game 13: Winner: Borbála, Type: Simple AI
Game 14: Winner: Borbála, Type: Simple AI
Game 15: Winner: Krisztián, Type: Random AI
Game 16: Winner: Borbála, Type: Simple AI
Game 17: Winner: Krisztián, Type: Random AI
Game 18: Winner: Krisztián, Type: Random AI
Game 19: Winner: Borbála, Type: Simple AI
Game 20: Winner: Krisztián, Type: Random AI
Game 21: Winner: Borbála, Type: Simple AI
Game 22: Winner: Borbála, Type: Simple AI
Game 23: Winner: Borbála, Type: Simple AI
Game 24: Winner: Krisztián, Type: Random AI
Game 25: Winner: Krisztián, Type: Random AI
Game 26: Winner: Krisztián, Type: Random AI
Game 27: Winner: Krisztián, Type: Random AI
Game 28: Winner: Krisztián, Type: Random AI
Game 29: Winner: Krisztián, Type: Random AI
Game 30: Winner: Krisztián, Type: Random AI
Game 31: Winner: Krisztián, Type: Random AI
Game 32: Winner: Krisztián, Type: Random AI
Game 33: Winner: Borbála, Type: Simple AI
Game 34: Winner: Borbála, Type: Simple AI
Game 35: Winner: Krisztián, Type: Random AI
Game 36: Winner: Borbála, Type: Simple AI
Game 37: Winner: Krisztián, Type: Random AI
Game 38: Winner: Borbála, Type: Simple AI
Game 39: Winner: Borbála, Type: Simple AI
Game 40: Winner: Krisztián, Type: Random AI
Game 41: Winner: Borbála, Type: Simple AI
Game 42: Winner: Borbála, Type: Simple AI
Game 43: Winner: Borbála, Type: Simple AI
Game 44: Winner: Borbála, Type: Simple AI
Game 45: Winner: Borbála, Type: Simple AI
Game 46: Winner: Krisztián, Type: Random AI
Game 47: Winner: Borbála, Type: Simple AI
Game 48: Winner: Borbála, Type: Simple AI
Game 49: Winner: Krisztián, Type: Random AI
Game 50: Winner: Krisztián, Type: Random AI
Game 51: Winner: Borbála, Type: Simple AI
Game 52: Winner: Krisztián, Type: Random AI
Game 53: Winner: Borbála, Type: Simple AI
Game 54: Winner: Borbála, Type: Simple AI
Game 55: Winner: Krisztián, Type: Random AI
Game 56: Winner: Krisztián, Type: Random AI
Game 57: Winner: Krisztián, Type: Random AI
Game 58: Winner: Krisztián, Type: Random AI
Game 59: Winner: Krisztián, Type: Random AI
Game 60: Winner: Krisztián, Type: Random AI
Game 61: Winner: Borbála, Type: Simple AI
Game 62: Winner: Krisztián, Type: Random AI
Game 63: Winner: Borbála, Type: Simple AI
Game 64: Winner: Krisztián, Type: Random AI
Game 65: Winner: Borbála, Type: Simple AI
Game 66: Winner: Krisztián, Type: Random AI
Game 67: Winner: Borbála, Type: Simple AI
Game 68: Winner: Borbála, Type: Simple AI
Game 69: Winner: Krisztián, Type: Random AI
Game 70: Winner: Borbála, Type: Simple AI
Game 71: Winner: Krisztián, Type: Random AI
Game 72: Winner: Borbála, Type: Simple AI
Game 73: Winner: Krisztián, Type: Random AI
Game 74: Winner: Borbála, Type: Simple AI
Game 75: Winner: Borbála, Type: Simple AI
Game 76: Winner: Krisztián, Type: Random AI
Game 77: Winner: Borbála, Type: Simple AI
Game 78: Winner: Krisztián, Type: Random AI
Game 79: Winner: Krisztián, Type: Random AI
Game 80: Winner: Krisztián, Type: Random AI
Game 81: Winner: Krisztián, Type: Random AI
Game 82: Winner: Borbála, Type: Simple AI
Game 83: Winner: Borbála, Type: Simple AI
Game 84: Winner: Borbála, Type: Simple AI
Game 85: Winner: Borbála, Type: Simple AI
Game 86: Winner: Borbála, Type: Simple AI
Game 87: Winner: Krisztián, Type: Random AI
Game 88: Winner: Krisztián, Type: Random AI
Game 89: Winner: Borbála, Type: Simple AI
Game 90: Winner: Krisztián, Type: Random AI
Game 91: Winner: Borbála, Type: Simple AI
Game 92: Winner: Borbála, Type: Simple AI
Game 93: Winner: Borbála, Type: Simple AI
Game 94: Winner: Krisztián, Type: Random AI
Game 95: Winner: Krisztián, Type: Random AI
Game 96: Winner: Borbála, Type: Simple AI
Game 97: Winner: Borbála, Type: Simple AI
Game 98: Winner: Krisztián, Type: Random AI
Game 99: Winner: Krisztián, Type: Random AI
