Players:
Krisztián (Random AI) 
Borbála (Simple AI) 

Results:
Borbála (Simple AI) won 594 games (59,4%)
Krisztián (Random AI) won 406 games (40,6%)

Games:
Game 0: Winner: Borbála, Type: Simple AI
Game 1: Winner: Borbála, Type: Simple AI
Game 2: Winner: Krisztián, Type: Random AI
Game 3: Winner: Krisztián, Type: Random AI
Game 4: Winner: Krisztián, Type: Random AI
Game 5: Winner: Krisztián, Type: Random AI
Game 6: Winner: Borbála, Type: Simple AI
Game 7: Winner: Borbála, Type: Simple AI
Game 8: Winner: Borbála, Type: Simple AI
Game 9: Winner: Krisztián, Type: Random AI
Game 10: Winner: Krisztián, Type: Random AI
Game 11: Winner: Borbála, Type: Simple AI
Game 12: Winner: Borbála, Type: Simple AI
Game 13: Winner: Borbála, Type: Simple AI
Game 14: Winner: Borbála, Type: Simple AI
Game 15: Winner: Borbála, Type: Simple AI
Game 16: Winner: Borbála, Type: Simple AI
Game 17: Winner: Krisztián, Type: Random AI
Game 18: Winner: Krisztián, Type: Random AI
Game 19: Winner: Borbála, Type: Simple AI
Game 20: Winner: Borbála, Type: Simple AI
Game 21: Winner: Borbála, Type: Simple AI
Game 22: Winner: Borbála, Type: Simple AI
Game 23: Winner: Borbála, Type: Simple AI
Game 24: Winner: Borbála, Type: Simple AI
Game 25: Winner: Borbála, Type: Simple AI
Game 26: Winner: Borbála, Type: Simple AI
Game 27: Winner: Borbála, Type: Simple AI
Game 28: Winner: Borbála, Type: Simple AI
Game 29: Winner: Borbála, Type: Simple AI
Game 30: Winner: Borbála, Type: Simple AI
Game 31: Winner: Krisztián, Type: Random AI
Game 32: Winner: Krisztián, Type: Random AI
Game 33: Winner: Borbála, Type: Simple AI
Game 34: Winner: Krisztián, Type: Random AI
Game 35: Winner: Borbála, Type: Simple AI
Game 36: Winner: Krisztián, Type: Random AI
Game 37: Winner: Borbála, Type: Simple AI
Game 38: Winner: Borbála, Type: Simple AI
Game 39: Winner: Borbála, Type: Simple AI
Game 40: Winner: Krisztián, Type: Random AI
Game 41: Winner: Borbála, Type: Simple AI
Game 42: Winner: Krisztián, Type: Random AI
Game 43: Winner: Krisztián, Type: Random AI
Game 44: Winner: Borbála, Type: Simple AI
Game 45: Winner: Krisztián, Type: Random AI
Game 46: Winner: Krisztián, Type: Random AI
Game 47: Winner: Borbála, Type: Simple AI
Game 48: Winner: Krisztián, Type: Random AI
Game 49: Winner: Krisztián, Type: Random AI
Game 50: Winner: Krisztián, Type: Random AI
Game 51: Winner: Borbála, Type: Simple AI
Game 52: Winner: Borbála, Type: Simple AI
Game 53: Winner: Krisztián, Type: Random AI
Game 54: Winner: Borbála, Type: Simple AI
Game 55: Winner: Borbála, Type: Simple AI
Game 56: Winner: Krisztián, Type: Random AI
Game 57: Winner: Borbála, Type: Simple AI
Game 58: Winner: Krisztián, Type: Random AI
Game 59: Winner: Krisztián, Type: Random AI
Game 60: Winner: Borbála, Type: Simple AI
Game 61: Winner: Krisztián, Type: Random AI
Game 62: Winner: Krisztián, Type: Random AI
Game 63: Winner: Borbála, Type: Simple AI
Game 64: Winner: Krisztián, Type: Random AI
Game 65: Winner: Krisztián, Type: Random AI
Game 66: Winner: Krisztián, Type: Random AI
Game 67: Winner: Borbála, Type: Simple AI
Game 68: Winner: Krisztián, Type: Random AI
Game 69: Winner: Krisztián, Type: Random AI
Game 70: Winner: Krisztián, Type: Random AI
Game 71: Winner: Borbála, Type: Simple AI
Game 72: Winner: Krisztián, Type: Random AI
Game 73: Winner: Krisztián, Type: Random AI
Game 74: Winner: Borbála, Type: Simple AI
Game 75: Winner: Borbála, Type: Simple AI
Game 76: Winner: Borbála, Type: Simple AI
Game 77: Winner: Krisztián, Type: Random AI
Game 78: Winner: Borbála, Type: Simple AI
Game 79: Winner: Borbála, Type: Simple AI
Game 80: Winner: Borbála, Type: Simple AI
Game 81: Winner: Borbála, Type: Simple AI
Game 82: Winner: Krisztián, Type: Random AI
Game 83: Winner: Krisztián, Type: Random AI
Game 84: Winner: Krisztián, Type: Random AI
Game 85: Winner: Borbála, Type: Simple AI
Game 86: Winner: Borbála, Type: Simple AI
Game 87: Winner: Krisztián, Type: Random AI
Game 88: Winner: Krisztián, Type: Random AI
Game 89: Winner: Borbála, Type: Simple AI
Game 90: Winner: Krisztián, Type: Random AI
Game 91: Winner: Borbála, Type: Simple AI
Game 92: Winner: Borbála, Type: Simple AI
Game 93: Winner: Borbála, Type: Simple AI
Game 94: Winner: Krisztián, Type: Random AI
Game 95: Winner: Borbála, Type: Simple AI
Game 96: Winner: Borbála, Type: Simple AI
Game 97: Winner: Krisztián, Type: Random AI
Game 98: Winner: Krisztián, Type: Random AI
Game 99: Winner: Borbála, Type: Simple AI
Game 100: Winner: Krisztián, Type: Random AI
Game 101: Winner: Borbála, Type: Simple AI
Game 102: Winner: Borbála, Type: Simple AI
Game 103: Winner: Borbála, Type: Simple AI
Game 104: Winner: Krisztián, Type: Random AI
Game 105: Winner: Krisztián, Type: Random AI
Game 106: Winner: Borbála, Type: Simple AI
Game 107: Winner: Krisztián, Type: Random AI
Game 108: Winner: Borbála, Type: Simple AI
Game 109: Winner: Borbála, Type: Simple AI
Game 110: Winner: Borbála, Type: Simple AI
Game 111: Winner: Borbála, Type: Simple AI
Game 112: Winner: Krisztián, Type: Random AI
Game 113: Winner: Borbála, Type: Simple AI
Game 114: Winner: Krisztián, Type: Random AI
Game 115: Winner: Borbála, Type: Simple AI
Game 116: Winner: Krisztián, Type: Random AI
Game 117: Winner: Borbála, Type: Simple AI
Game 118: Winner: Krisztián, Type: Random AI
Game 119: Winner: Krisztián, Type: Random AI
Game 120: Winner: Borbála, Type: Simple AI
Game 121: Winner: Krisztián, Type: Random AI
Game 122: Winner: Borbála, Type: Simple AI
Game 123: Winner: Borbála, Type: Simple AI
Game 124: Winner: Borbála, Type: Simple AI
Game 125: Winner: Borbála, Type: Simple AI
Game 126: Winner: Borbála, Type: Simple AI
Game 127: Winner: Krisztián, Type: Random AI
Game 128: Winner: Krisztián, Type: Random AI
Game 129: Winner: Borbála, Type: Simple AI
Game 130: Winner: Borbála, Type: Simple AI
Game 131: Winner: Krisztián, Type: Random AI
Game 132: Winner: Krisztián, Type: Random AI
Game 133: Winner: Borbála, Type: Simple AI
Game 134: Winner: Krisztián, Type: Random AI
Game 135: Winner: Krisztián, Type: Random AI
Game 136: Winner: Borbála, Type: Simple AI
Game 137: Winner: Krisztián, Type: Random AI
Game 138: Winner: Krisztián, Type: Random AI
Game 139: Winner: Borbála, Type: Simple AI
Game 140: Winner: Borbála, Type: Simple AI
Game 141: Winner: Krisztián, Type: Random AI
Game 142: Winner: Borbála, Type: Simple AI
Game 143: Winner: Borbála, Type: Simple AI
Game 144: Winner: Krisztián, Type: Random AI
Game 145: Winner: Krisztián, Type: Random AI
Game 146: Winner: Borbála, Type: Simple AI
Game 147: Winner: Krisztián, Type: Random AI
Game 148: Winner: Krisztián, Type: Random AI
Game 149: Winner: Borbála, Type: Simple AI
Game 150: Winner: Borbála, Type: Simple AI
Game 151: Winner: Krisztián, Type: Random AI
Game 152: Winner: Borbála, Type: Simple AI
Game 153: Winner: Borbála, Type: Simple AI
Game 154: Winner: Krisztián, Type: Random AI
Game 155: Winner: Krisztián, Type: Random AI
Game 156: Winner: Krisztián, Type: Random AI
Game 157: Winner: Borbála, Type: Simple AI
Game 158: Winner: Borbála, Type: Simple AI
Game 159: Winner: Borbála, Type: Simple AI
Game 160: Winner: Borbála, Type: Simple AI
Game 161: Winner: Borbála, Type: Simple AI
Game 162: Winner: Borbála, Type: Simple AI
Game 163: Winner: Krisztián, Type: Random AI
Game 164: Winner: Borbála, Type: Simple AI
Game 165: Winner: Borbála, Type: Simple AI
Game 166: Winner: Krisztián, Type: Random AI
Game 167: Winner: Borbála, Type: Simple AI
Game 168: Winner: Krisztián, Type: Random AI
Game 169: Winner: Borbála, Type: Simple AI
Game 170: Winner: Krisztián, Type: Random AI
Game 171: Winner: Krisztián, Type: Random AI
Game 172: Winner: Krisztián, Type: Random AI
Game 173: Winner: Krisztián, Type: Random AI
Game 174: Winner: Borbála, Type: Simple AI
