Players:
Random Béla (Random AI) 
Simple Aladár (Simple AI) 

Results:
Simple Aladár (Simple AI) won 92 games (92%)
Random Béla (Random AI) won 8 games (8%)

Games:
Game 0: Winner: Simple Aladár, Type: Simple AI
Game 1: Winner: Simple Aladár, Type: Simple AI
Game 2: Winner: Simple Aladár, Type: Simple AI
Game 3: Winner: Simple Aladár, Type: Simple AI
Game 4: Winner: Simple Aladár, Type: Simple AI
Game 5: Winner: Simple Aladár, Type: Simple AI
Game 6: Winner: Simple Aladár, Type: Simple AI
Game 7: Winner: Simple Aladár, Type: Simple AI
Game 8: Winner: Simple Aladár, Type: Simple AI
Game 9: Winner: Simple Aladár, Type: Simple AI
Game 10: Winner: Simple Aladár, Type: Simple AI
Game 11: Winner: Random Béla, Type: Random AI
Game 12: Winner: Simple Aladár, Type: Simple AI
Game 13: Winner: Simple Aladár, Type: Simple AI
Game 14: Winner: Simple Aladár, Type: Simple AI
Game 15: Winner: Simple Aladár, Type: Simple AI
Game 16: Winner: Simple Aladár, Type: Simple AI
Game 17: Winner: Simple Aladár, Type: Simple AI
Game 18: Winner: Simple Aladár, Type: Simple AI
Game 19: Winner: Simple Aladár, Type: Simple AI
Game 20: Winner: Simple Aladár, Type: Simple AI
Game 21: Winner: Simple Aladár, Type: Simple AI
Game 22: Winner: Simple Aladár, Type: Simple AI
Game 23: Winner: Simple Aladár, Type: Simple AI
Game 24: Winner: Simple Aladár, Type: Simple AI
Game 25: Winner: Simple Aladár, Type: Simple AI
Game 26: Winner: Simple Aladár, Type: Simple AI
Game 27: Winner: Simple Aladár, Type: Simple AI
Game 28: Winner: Random Béla, Type: Random AI
Game 29: Winner: Simple Aladár, Type: Simple AI
Game 30: Winner: Simple Aladár, Type: Simple AI
Game 31: Winner: Random Béla, Type: Random AI
Game 32: Winner: Random Béla, Type: Random AI
Game 33: Winner: Random Béla, Type: Random AI
Game 34: Winner: Simple Aladár, Type: Simple AI
Game 35: Winner: Simple Aladár, Type: Simple AI
Game 36: Winner: Simple Aladár, Type: Simple AI
Game 37: Winner: Simple Aladár, Type: Simple AI
Game 38: Winner: Simple Aladár, Type: Simple AI
Game 39: Winner: Simple Aladár, Type: Simple AI
Game 40: Winner: Simple Aladár, Type: Simple AI
Game 41: Winner: Simple Aladár, Type: Simple AI
Game 42: Winner: Simple Aladár, Type: Simple AI
Game 43: Winner: Simple Aladár, Type: Simple AI
Game 44: Winner: Simple Aladár, Type: Simple AI
Game 45: Winner: Simple Aladár, Type: Simple AI
Game 46: Winner: Simple Aladár, Type: Simple AI
Game 47: Winner: Simple Aladár, Type: Simple AI
Game 48: Winner: Simple Aladár, Type: Simple AI
Game 49: Winner: Simple Aladár, Type: Simple AI
Game 50: Winner: Simple Aladár, Type: Simple AI
Game 51: Winner: Simple Aladár, Type: Simple AI
Game 52: Winner: Simple Aladár, Type: Simple AI
Game 53: Winner: Simple Aladár, Type: Simple AI
Game 54: Winner: Simple Aladár, Type: Simple AI
Game 55: Winner: Simple Aladár, Type: Simple AI
Game 56: Winner: Simple Aladár, Type: Simple AI
Game 57: Winner: Simple Aladár, Type: Simple AI
Game 58: Winner: Simple Aladár, Type: Simple AI
Game 59: Winner: Simple Aladár, Type: Simple AI
Game 60: Winner: Simple Aladár, Type: Simple AI
Game 61: Winner: Simple Aladár, Type: Simple AI
Game 62: Winner: Simple Aladár, Type: Simple AI
Game 63: Winner: Simple Aladár, Type: Simple AI
Game 64: Winner: Simple Aladár, Type: Simple AI
Game 65: Winner: Simple Aladár, Type: Simple AI
Game 66: Winner: Simple Aladár, Type: Simple AI
Game 67: Winner: Simple Aladár, Type: Simple AI
Game 68: Winner: Simple Aladár, Type: Simple AI
Game 69: Winner: Simple Aladár, Type: Simple AI
Game 70: Winner: Simple Aladár, Type: Simple AI
Game 71: Winner: Simple Aladár, Type: Simple AI
Game 72: Winner: Simple Aladár, Type: Simple AI
Game 73: Winner: Simple Aladár, Type: Simple AI
Game 74: Winner: Simple Aladár, Type: Simple AI
Game 75: Winner: Simple Aladár, Type: Simple AI
Game 76: Winner: Simple Aladár, Type: Simple AI
Game 77: Winner: Simple Aladár, Type: Simple AI
Game 78: Winner: Simple Aladár, Type: Simple AI
Game 79: Winner: Simple Aladár, Type: Simple AI
Game 80: Winner: Simple Aladár, Type: Simple AI
Game 81: Winner: Simple Aladár, Type: Simple AI
Game 82: Winner: Simple Aladár, Type: Simple AI
Game 83: Winner: Simple Aladár, Type: Simple AI
Game 84: Winner: Simple Aladár, Type: Simple AI
Game 85: Winner: Simple Aladár, Type: Simple AI
Game 86: Winner: Simple Aladár, Type: Simple AI
Game 87: Winner: Random Béla, Type: Random AI
Game 88: Winner: Simple Aladár, Type: Simple AI
Game 89: Winner: Simple Aladár, Type: Simple AI
Game 90: Winner: Simple Aladár, Type: Simple AI
Game 91: Winner: Simple Aladár, Type: Simple AI
Game 92: Winner: Random Béla, Type: Random AI
Game 93: Winner: Simple Aladár, Type: Simple AI
Game 94: Winner: Simple Aladár, Type: Simple AI
Game 95: Winner: Random Béla, Type: Random AI
Game 96: Winner: Simple Aladár, Type: Simple AI
Game 97: Winner: Simple Aladár, Type: Simple AI
Game 98: Winner: Simple Aladár, Type: Simple AI
Game 99: Winner: Simple Aladár, Type: Simple AI
