Players:
Ilona (Random AI) 
Anett (Simple AI) 
Elemér (Simple AI) 

Results:
Anett (Simple AI) won 34 games (34%)
Elemér (Simple AI) won 44 games (44%)
Ilona (Random AI) won 22 games (22%)

Games:
Game 0: Winner: Anett, Type: Simple AI
Game 1: Winner: Elemér, Type: Simple AI
Game 2: Winner: Elemér, Type: Simple AI
Game 3: Winner: Anett, Type: Simple AI
Game 4: Winner: Elemér, Type: Simple AI
Game 5: Winner: Anett, Type: Simple AI
Game 6: Winner: Ilona, Type: Random AI
Game 7: Winner: Anett, Type: Simple AI
Game 8: Winner: Ilona, Type: Random AI
Game 9: Winner: Elemér, Type: Simple AI
Game 10: Winner: Anett, Type: Simple AI
Game 11: Winner: Elemér, Type: Simple AI
Game 12: Winner: Elemér, Type: Simple AI
Game 13: Winner: Elemér, Type: Simple AI
Game 14: Winner: Elemér, Type: Simple AI
Game 15: Winner: Elemér, Type: Simple AI
Game 16: Winner: Ilona, Type: Random AI
Game 17: Winner: Elemér, Type: Simple AI
Game 18: Winner: Anett, Type: Simple AI
Game 19: Winner: Anett, Type: Simple AI
Game 20: Winner: Anett, Type: Simple AI
Game 21: Winner: Elemér, Type: Simple AI
Game 22: Winner: Ilona, Type: Random AI
Game 23: Winner: Ilona, Type: Random AI
Game 24: Winner: Elemér, Type: Simple AI
Game 25: Winner: Ilona, Type: Random AI
Game 26: Winner: Anett, Type: Simple AI
Game 27: Winner: Elemér, Type: Simple AI
Game 28: Winner: Elemér, Type: Simple AI
Game 29: Winner: Elemér, Type: Simple AI
Game 30: Winner: Anett, Type: Simple AI
Game 31: Winner: Anett, Type: Simple AI
Game 32: Winner: Anett, Type: Simple AI
Game 33: Winner: Anett, Type: Simple AI
Game 34: Winner: Elemér, Type: Simple AI
Game 35: Winner: Anett, Type: Simple AI
Game 36: Winner: Ilona, Type: Random AI
Game 37: Winner: Elemér, Type: Simple AI
Game 38: Winner: Ilona, Type: Random AI
Game 39: Winner: Elemér, Type: Simple AI
Game 40: Winner: Anett, Type: Simple AI
Game 41: Winner: Elemér, Type: Simple AI
Game 42: Winner: Ilona, Type: Random AI
Game 43: Winner: Elemér, Type: Simple AI
Game 44: Winner: Elemér, Type: Simple AI
Game 45: Winner: Elemér, Type: Simple AI
Game 46: Winner: Anett, Type: Simple AI
Game 47: Winner: Ilona, Type: Random AI
Game 48: Winner: Elemér, Type: Simple AI
Game 49: Winner: Anett, Type: Simple AI
Game 50: Winner: Elemér, Type: Simple AI
Game 51: Winner: Elemér, Type: Simple AI
Game 52: Winner: Ilona, Type: Random AI
Game 53: Winner: Elemér, Type: Simple AI
Game 54: Winner: Ilona, Type: Random AI
Game 55: Winner: Anett, Type: Simple AI
Game 56: Winner: Elemér, Type: Simple AI
Game 57: Winner: Anett, Type: Simple AI
Game 58: Winner: Ilona, Type: Random AI
Game 59: Winner: Anett, Type: Simple AI
Game 60: Winner: Anett, Type: Simple AI
Game 61: Winner: Elemér, Type: Simple AI
Game 62: Winner: Elemér, Type: Simple AI
Game 63: Winner: Ilona, Type: Random AI
Game 64: Winner: Elemér, Type: Simple AI
Game 65: Winner: Anett, Type: Simple AI
Game 66: Winner: Elemér, Type: Simple AI
Game 67: Winner: Elemér, Type: Simple AI
Game 68: Winner: Elemér, Type: Simple AI
Game 69: Winner: Elemér, Type: Simple AI
Game 70: Winner: Anett, Type: Simple AI
Game 71: Winner: Ilona, Type: Random AI
Game 72: Winner: Anett, Type: Simple AI
Game 73: Winner: Anett, Type: Simple AI
Game 74: Winner: Anett, Type: Simple AI
Game 75: Winner: Ilona, Type: Random AI
Game 76: Winner: Anett, Type: Simple AI
Game 77: Winner: Anett, Type: Simple AI
Game 78: Winner: Elemér, Type: Simple AI
Game 79: Winner: Anett, Type: Simple AI
Game 80: Winner: Ilona, Type: Random AI
Game 81: Winner: Anett, Type: Simple AI
Game 82: Winner: Anett, Type: Simple AI
Game 83: Winner: Elemér, Type: Simple AI
Game 84: Winner: Ilona, Type: Random AI
Game 85: Winner: Elemér, Type: Simple AI
Game 86: Winner: Anett, Type: Simple AI
Game 87: Winner: Elemér, Type: Simple AI
Game 88: Winner: Anett, Type: Simple AI
Game 89: Winner: Ilona, Type: Random AI
Game 90: Winner: Elemér, Type: Simple AI
Game 91: Winner: Elemér, Type: Simple AI
Game 92: Winner: Ilona, Type: Random AI
Game 93: Winner: Ilona, Type: Random AI
Game 94: Winner: Elemér, Type: Simple AI
Game 95: Winner: Elemér, Type: Simple AI
Game 96: Winner: Anett, Type: Simple AI
Game 97: Winner: Elemér, Type: Simple AI
Game 98: Winner: Elemér, Type: Simple AI
Game 99: Winner: Ilona, Type: Random AI
