Players:
Ilona (Random AI) 
Anett (Simple AI) 
Elemér (Simple AI) 

Results:
Elemér (Simple AI) won 97 games (32,3333333333333%)
Anett (Simple AI) won 128 games (42,6666666666667%)
Ilona (Random AI) won 75 games (25%)

Games:
Game 0: Winner: Elemér, Type: Simple AI
Game 1: Winner: Anett, Type: Simple AI
Game 2: Winner: Elemér, Type: Simple AI
Game 3: Winner: Elemér, Type: Simple AI
Game 4: Winner: Anett, Type: Simple AI
Game 5: Winner: Anett, Type: Simple AI
Game 6: Winner: Elemér, Type: Simple AI
Game 7: Winner: Anett, Type: Simple AI
Game 8: Winner: Ilona, Type: Random AI
Game 9: Winner: Anett, Type: Simple AI
Game 10: Winner: Ilona, Type: Random AI
Game 11: Winner: Anett, Type: Simple AI
Game 12: Winner: Anett, Type: Simple AI
Game 13: Winner: Ilona, Type: Random AI
Game 14: Winner: Anett, Type: Simple AI
Game 15: Winner: Anett, Type: Simple AI
Game 16: Winner: Ilona, Type: Random AI
Game 17: Winner: Ilona, Type: Random AI
Game 18: Winner: Elemér, Type: Simple AI
Game 19: Winner: Ilona, Type: Random AI
Game 20: Winner: Anett, Type: Simple AI
Game 21: Winner: Anett, Type: Simple AI
Game 22: Winner: Anett, Type: Simple AI
Game 23: Winner: Anett, Type: Simple AI
Game 24: Winner: Anett, Type: Simple AI
Game 25: Winner: Anett, Type: Simple AI
Game 26: Winner: Anett, Type: Simple AI
Game 27: Winner: Anett, Type: Simple AI
Game 28: Winner: Ilona, Type: Random AI
Game 29: Winner: Anett, Type: Simple AI
Game 30: Winner: Ilona, Type: Random AI
Game 31: Winner: Ilona, Type: Random AI
Game 32: Winner: Anett, Type: Simple AI
Game 33: Winner: Anett, Type: Simple AI
Game 34: Winner: Elemér, Type: Simple AI
Game 35: Winner: Anett, Type: Simple AI
Game 36: Winner: Anett, Type: Simple AI
Game 37: Winner: Elemér, Type: Simple AI
Game 38: Winner: Elemér, Type: Simple AI
Game 39: Winner: Elemér, Type: Simple AI
Game 40: Winner: Elemér, Type: Simple AI
Game 41: Winner: Anett, Type: Simple AI
Game 42: Winner: Ilona, Type: Random AI
Game 43: Winner: Ilona, Type: Random AI
Game 44: Winner: Elemér, Type: Simple AI
Game 45: Winner: Anett, Type: Simple AI
Game 46: Winner: Elemér, Type: Simple AI
