Players:
Ilona (Random AI) 
Anett (Random AI) 
Elemér (Simple AI) 

Results:
Anett (Random AI) won 295 games (29,5%)
Ilona (Random AI) won 292 games (29,2%)
Elemér (Simple AI) won 413 games (41,3%)

Games:
Game 0: Winner: Anett, Type: Random AI
Game 1: Winner: Anett, Type: Random AI
Game 2: Winner: Anett, Type: Random AI
Game 3: Winner: Ilona, Type: Random AI
Game 4: Winner: Elemér, Type: Simple AI
Game 5: Winner: Elemér, Type: Simple AI
Game 6: Winner: Anett, Type: Random AI
Game 7: Winner: Ilona, Type: Random AI
Game 8: Winner: Elemér, Type: Simple AI
Game 9: Winner: Elemér, Type: Simple AI
Game 10: Winner: Anett, Type: Random AI
Game 11: Winner: Ilona, Type: Random AI
Game 12: Winner: Ilona, Type: Random AI
Game 13: Winner: Anett, Type: Random AI
Game 14: Winner: Ilona, Type: Random AI
Game 15: Winner: Anett, Type: Random AI
Game 16: Winner: Anett, Type: Random AI
Game 17: Winner: Ilona, Type: Random AI
Game 18: Winner: Anett, Type: Random AI
Game 19: Winner: Anett, Type: Random AI
Game 20: Winner: Ilona, Type: Random AI
Game 21: Winner: Anett, Type: Random AI
Game 22: Winner: Elemér, Type: Simple AI
Game 23: Winner: Elemér, Type: Simple AI
Game 24: Winner: Ilona, Type: Random AI
Game 25: Winner: Anett, Type: Random AI
Game 26: Winner: Ilona, Type: Random AI
Game 27: Winner: Elemér, Type: Simple AI
Game 28: Winner: Elemér, Type: Simple AI
Game 29: Winner: Ilona, Type: Random AI
Game 30: Winner: Anett, Type: Random AI
Game 31: Winner: Anett, Type: Random AI
Game 32: Winner: Elemér, Type: Simple AI
Game 33: Winner: Ilona, Type: Random AI
Game 34: Winner: Elemér, Type: Simple AI
Game 35: Winner: Elemér, Type: Simple AI
Game 36: Winner: Elemér, Type: Simple AI
Game 37: Winner: Ilona, Type: Random AI
Game 38: Winner: Elemér, Type: Simple AI
Game 39: Winner: Ilona, Type: Random AI
Game 40: Winner: Anett, Type: Random AI
Game 41: Winner: Elemér, Type: Simple AI
Game 42: Winner: Ilona, Type: Random AI
Game 43: Winner: Ilona, Type: Random AI
Game 44: Winner: Ilona, Type: Random AI
Game 45: Winner: Elemér, Type: Simple AI
Game 46: Winner: Anett, Type: Random AI
Game 47: Winner: Anett, Type: Random AI
Game 48: Winner: Elemér, Type: Simple AI
Game 49: Winner: Ilona, Type: Random AI
Game 50: Winner: Elemér, Type: Simple AI
Game 51: Winner: Elemér, Type: Simple AI
Game 52: Winner: Elemér, Type: Simple AI
Game 53: Winner: Ilona, Type: Random AI
Game 54: Winner: Ilona, Type: Random AI
Game 55: Winner: Anett, Type: Random AI
Game 56: Winner: Anett, Type: Random AI
Game 57: Winner: Anett, Type: Random AI
Game 58: Winner: Elemér, Type: Simple AI
Game 59: Winner: Ilona, Type: Random AI
Game 60: Winner: Anett, Type: Random AI
Game 61: Winner: Elemér, Type: Simple AI
Game 62: Winner: Ilona, Type: Random AI
Game 63: Winner: Elemér, Type: Simple AI
Game 64: Winner: Anett, Type: Random AI
Game 65: Winner: Anett, Type: Random AI
Game 66: Winner: Ilona, Type: Random AI
Game 67: Winner: Ilona, Type: Random AI
Game 68: Winner: Elemér, Type: Simple AI
Game 69: Winner: Elemér, Type: Simple AI
Game 70: Winner: Anett, Type: Random AI
Game 71: Winner: Elemér, Type: Simple AI
Game 72: Winner: Anett, Type: Random AI
Game 73: Winner: Elemér, Type: Simple AI
Game 74: Winner: Ilona, Type: Random AI
Game 75: Winner: Elemér, Type: Simple AI
Game 76: Winner: Anett, Type: Random AI
Game 77: Winner: Elemér, Type: Simple AI
Game 78: Winner: Anett, Type: Random AI
Game 79: Winner: Elemér, Type: Simple AI
Game 80: Winner: Elemér, Type: Simple AI
Game 81: Winner: Elemér, Type: Simple AI
Game 82: Winner: Elemér, Type: Simple AI
Game 83: Winner: Ilona, Type: Random AI
Game 84: Winner: Anett, Type: Random AI
Game 85: Winner: Anett, Type: Random AI
Game 86: Winner: Elemér, Type: Simple AI
Game 87: Winner: Elemér, Type: Simple AI
Game 88: Winner: Anett, Type: Random AI
Game 89: Winner: Elemér, Type: Simple AI
Game 90: Winner: Elemér, Type: Simple AI
Game 91: Winner: Elemér, Type: Simple AI
Game 92: Winner: Ilona, Type: Random AI
Game 93: Winner: Anett, Type: Random AI
Game 94: Winner: Ilona, Type: Random AI
Game 95: Winner: Elemér, Type: Simple AI
Game 96: Winner: Elemér, Type: Simple AI
Game 97: Winner: Anett, Type: Random AI
Game 98: Winner: Elemér, Type: Simple AI
Game 99: Winner: Anett, Type: Random AI
Game 100: Winner: Elemér, Type: Simple AI
Game 101: Winner: Elemér, Type: Simple AI
Game 102: Winner: Elemér, Type: Simple AI
Game 103: Winner: Anett, Type: Random AI
Game 104: Winner: Elemér, Type: Simple AI
Game 105: Winner: Ilona, Type: Random AI
Game 106: Winner: Elemér, Type: Simple AI
Game 107: Winner: Elemér, Type: Simple AI
Game 108: Winner: Anett, Type: Random AI
Game 109: Winner: Anett, Type: Random AI
Game 110: Winner: Ilona, Type: Random AI
Game 111: Winner: Anett, Type: Random AI
Game 112: Winner: Anett, Type: Random AI
Game 113: Winner: Anett, Type: Random AI
Game 114: Winner: Elemér, Type: Simple AI
Game 115: Winner: Anett, Type: Random AI
Game 116: Winner: Ilona, Type: Random AI
Game 117: Winner: Elemér, Type: Simple AI
Game 118: Winner: Elemér, Type: Simple AI
Game 119: Winner: Ilona, Type: Random AI
Game 120: Winner: Ilona, Type: Random AI
Game 121: Winner: Anett, Type: Random AI
Game 122: Winner: Ilona, Type: Random AI
Game 123: Winner: Elemér, Type: Simple AI
Game 124: Winner: Elemér, Type: Simple AI
Game 125: Winner: Ilona, Type: Random AI
Game 126: Winner: Ilona, Type: Random AI
Game 127: Winner: Anett, Type: Random AI
Game 128: Winner: Ilona, Type: Random AI
Game 129: Winner: Elemér, Type: Simple AI
Game 130: Winner: Ilona, Type: Random AI
Game 131: Winner: Ilona, Type: Random AI
Game 132: Winner: Ilona, Type: Random AI
Game 133: Winner: Ilona, Type: Random AI
Game 134: Winner: Anett, Type: Random AI
Game 135: Winner: Elemér, Type: Simple AI
Game 136: Winner: Elemér, Type: Simple AI
Game 137: Winner: Ilona, Type: Random AI
Game 138: Winner: Elemér, Type: Simple AI
Game 139: Winner: Elemér, Type: Simple AI
Game 140: Winner: Ilona, Type: Random AI
Game 141: Winner: Anett, Type: Random AI
Game 142: Winner: Elemér, Type: Simple AI
Game 143: Winner: Anett, Type: Random AI
Game 144: Winner: Elemér, Type: Simple AI
Game 145: Winner: Elemér, Type: Simple AI
Game 146: Winner: Elemér, Type: Simple AI
Game 147: Winner: Elemér, Type: Simple AI
Game 148: Winner: Elemér, Type: Simple AI
Game 149: Winner: Anett, Type: Random AI
Game 150: Winner: Anett, Type: Random AI
Game 151: Winner: Elemér, Type: Simple AI
Game 152: Winner: Elemér, Type: Simple AI
Game 153: Winner: Elemér, Type: Simple AI
Game 154: Winner: Anett, Type: Random AI
Game 155: Winner: Ilona, Type: Random AI
Game 156: Winner: Elemér, Type: Simple AI
Game 157: Winner: Elemér, Type: Simple AI
Game 158: Winner: Anett, Type: Random AI
Game 159: Winner: Elemér, Type: Simple AI
