Players:
Ilona (Random AI) 
Anett (Random AI) 
Elemér (Simple AI) 

Results:
Ilona (Random AI) won 85 games (28,3333333333333%)
Elemér (Simple AI) won 123 games (41%)
Anett (Random AI) won 92 games (30,6666666666667%)

Games:
Game 0: Winner: Ilona, Type: Random AI
Game 1: Winner: Elemér, Type: Simple AI
Game 2: Winner: Anett, Type: Random AI
Game 3: Winner: Elemér, Type: Simple AI
Game 4: Winner: Anett, Type: Random AI
Game 5: Winner: Elemér, Type: Simple AI
Game 6: Winner: Ilona, Type: Random AI
Game 7: Winner: Anett, Type: Random AI
Game 8: Winner: Elemér, Type: Simple AI
Game 9: Winner: Anett, Type: Random AI
Game 10: Winner: Ilona, Type: Random AI
Game 11: Winner: Ilona, Type: Random AI
Game 12: Winner: Elemér, Type: Simple AI
Game 13: Winner: Ilona, Type: Random AI
Game 14: Winner: Anett, Type: Random AI
Game 15: Winner: Ilona, Type: Random AI
Game 16: Winner: Ilona, Type: Random AI
Game 17: Winner: Anett, Type: Random AI
Game 18: Winner: Anett, Type: Random AI
Game 19: Winner: Anett, Type: Random AI
Game 20: Winner: Ilona, Type: Random AI
Game 21: Winner: Elemér, Type: Simple AI
Game 22: Winner: Ilona, Type: Random AI
Game 23: Winner: Ilona, Type: Random AI
Game 24: Winner: Elemér, Type: Simple AI
Game 25: Winner: Anett, Type: Random AI
Game 26: Winner: Anett, Type: Random AI
Game 27: Winner: Anett, Type: Random AI
Game 28: Winner: Elemér, Type: Simple AI
Game 29: Winner: Elemér, Type: Simple AI
Game 30: Winner: Elemér, Type: Simple AI
Game 31: Winner: Ilona, Type: Random AI
Game 32: Winner: Elemér, Type: Simple AI
Game 33: Winner: Elemér, Type: Simple AI
Game 34: Winner: Elemér, Type: Simple AI
Game 35: Winner: Elemér, Type: Simple AI
Game 36: Winner: Ilona, Type: Random AI
Game 37: Winner: Elemér, Type: Simple AI
Game 38: Winner: Anett, Type: Random AI
Game 39: Winner: Anett, Type: Random AI
Game 40: Winner: Elemér, Type: Simple AI
Game 41: Winner: Ilona, Type: Random AI
Game 42: Winner: Anett, Type: Random AI
Game 43: Winner: Elemér, Type: Simple AI
Game 44: Winner: Anett, Type: Random AI
Game 45: Winner: Anett, Type: Random AI
Game 46: Winner: Ilona, Type: Random AI
Game 47: Winner: Elemér, Type: Simple AI
Game 48: Winner: Elemér, Type: Simple AI
Game 49: Winner: Ilona, Type: Random AI
Game 50: Winner: Ilona, Type: Random AI
Game 51: Winner: Anett, Type: Random AI
Game 52: Winner: Anett, Type: Random AI
Game 53: Winner: Elemér, Type: Simple AI
Game 54: Winner: Elemér, Type: Simple AI
Game 55: Winner: Elemér, Type: Simple AI
Game 56: Winner: Ilona, Type: Random AI
Game 57: Winner: Anett, Type: Random AI
Game 58: Winner: Anett, Type: Random AI
Game 59: Winner: Elemér, Type: Simple AI
Game 60: Winner: Ilona, Type: Random AI
Game 61: Winner: Anett, Type: Random AI
Game 62: Winner: Elemér, Type: Simple AI
Game 63: Winner: Anett, Type: Random AI
Game 64: Winner: Elemér, Type: Simple AI
Game 65: Winner: Elemér, Type: Simple AI
Game 66: Winner: Elemér, Type: Simple AI
Game 67: Winner: Elemér, Type: Simple AI
Game 68: Winner: Elemér, Type: Simple AI
Game 69: Winner: Ilona, Type: Random AI
Game 70: Winner: Anett, Type: Random AI
Game 71: Winner: Elemér, Type: Simple AI
Game 72: Winner: Elemér, Type: Simple AI
Game 73: Winner: Anett, Type: Random AI
Game 74: Winner: Anett, Type: Random AI
Game 75: Winner: Anett, Type: Random AI
Game 76: Winner: Anett, Type: Random AI
Game 77: Winner: Elemér, Type: Simple AI
Game 78: Winner: Elemér, Type: Simple AI
Game 79: Winner: Elemér, Type: Simple AI
Game 80: Winner: Elemér, Type: Simple AI
Game 81: Winner: Elemér, Type: Simple AI
Game 82: Winner: Elemér, Type: Simple AI
Game 83: Winner: Elemér, Type: Simple AI
Game 84: Winner: Ilona, Type: Random AI
Game 85: Winner: Ilona, Type: Random AI
Game 86: Winner: Ilona, Type: Random AI
Game 87: Winner: Ilona, Type: Random AI
Game 88: Winner: Ilona, Type: Random AI
Game 89: Winner: Ilona, Type: Random AI
Game 90: Winner: Elemér, Type: Simple AI
Game 91: Winner: Elemér, Type: Simple AI
Game 92: Winner: Ilona, Type: Random AI
Game 93: Winner: Anett, Type: Random AI
Game 94: Winner: Ilona, Type: Random AI
Game 95: Winner: Anett, Type: Random AI
Game 96: Winner: Elemér, Type: Simple AI
Game 97: Winner: Ilona, Type: Random AI
Game 98: Winner: Elemér, Type: Simple AI
Game 99: Winner: Elemér, Type: Simple AI
Game 100: Winner: Ilona, Type: Random AI
Game 101: Winner: Elemér, Type: Simple AI
Game 102: Winner: Ilona, Type: Random AI
Game 103: Winner: Anett, Type: Random AI
Game 104: Winner: Elemér, Type: Simple AI
Game 105: Winner: Ilona, Type: Random AI
Game 106: Winner: Ilona, Type: Random AI
Game 107: Winner: Elemér, Type: Simple AI
Game 108: Winner: Ilona, Type: Random AI
Game 109: Winner: Elemér, Type: Simple AI
Game 110: Winner: Ilona, Type: Random AI
Game 111: Winner: Anett, Type: Random AI
Game 112: Winner: Elemér, Type: Simple AI
Game 113: Winner: Ilona, Type: Random AI
Game 114: Winner: Ilona, Type: Random AI
Game 115: Winner: Ilona, Type: Random AI
Game 116: Winner: Ilona, Type: Random AI
Game 117: Winner: Anett, Type: Random AI
Game 118: Winner: Anett, Type: Random AI
Game 119: Winner: Elemér, Type: Simple AI
Game 120: Winner: Anett, Type: Random AI
Game 121: Winner: Ilona, Type: Random AI
Game 122: Winner: Ilona, Type: Random AI
Game 123: Winner: Anett, Type: Random AI
Game 124: Winner: Ilona, Type: Random AI
Game 125: Winner: Anett, Type: Random AI
Game 126: Winner: Anett, Type: Random AI
Game 127: Winner: Elemér, Type: Simple AI
Game 128: Winner: Anett, Type: Random AI
Game 129: Winner: Elemér, Type: Simple AI
Game 130: Winner: Elemér, Type: Simple AI
Game 131: Winner: Elemér, Type: Simple AI
Game 132: Winner: Ilona, Type: Random AI
Game 133: Winner: Elemér, Type: Simple AI
Game 134: Winner: Anett, Type: Random AI
Game 135: Winner: Anett, Type: Random AI
Game 136: Winner: Elemér, Type: Simple AI
Game 137: Winner: Anett, Type: Random AI
Game 138: Winner: Anett, Type: Random AI
Game 139: Winner: Ilona, Type: Random AI
Game 140: Winner: Elemér, Type: Simple AI
Game 141: Winner: Elemér, Type: Simple AI
Game 142: Winner: Anett, Type: Random AI
