Players:
Ilona (Simple AI) 
Anett (Simple AI) 

Results:
Anett (Simple AI) won 152 games (50,6666666666667%)
Ilona (Simple AI) won 148 games (49,3333333333333%)

Games:
Game 0: Winner: Anett, Type: Simple AI
Game 1: Winner: Anett, Type: Simple AI
Game 2: Winner: Ilona, Type: Simple AI
Game 3: Winner: Anett, Type: Simple AI
Game 4: Winner: Ilona, Type: Simple AI
Game 5: Winner: Ilona, Type: Simple AI
Game 6: Winner: Ilona, Type: Simple AI
Game 7: Winner: Anett, Type: Simple AI
Game 8: Winner: Ilona, Type: Simple AI
Game 9: Winner: Anett, Type: Simple AI
Game 10: Winner: Anett, Type: Simple AI
Game 11: Winner: Anett, Type: Simple AI
Game 12: Winner: Anett, Type: Simple AI
Game 13: Winner: Anett, Type: Simple AI
Game 14: Winner: Anett, Type: Simple AI
Game 15: Winner: Ilona, Type: Simple AI
Game 16: Winner: Ilona, Type: Simple AI
Game 17: Winner: Ilona, Type: Simple AI
Game 18: Winner: Ilona, Type: Simple AI
Game 19: Winner: Anett, Type: Simple AI
Game 20: Winner: Anett, Type: Simple AI
Game 21: Winner: Ilona, Type: Simple AI
Game 22: Winner: Anett, Type: Simple AI
Game 23: Winner: Anett, Type: Simple AI
Game 24: Winner: Ilona, Type: Simple AI
Game 25: Winner: Anett, Type: Simple AI
Game 26: Winner: Anett, Type: Simple AI
Game 27: Winner: Anett, Type: Simple AI
Game 28: Winner: Anett, Type: Simple AI
Game 29: Winner: Anett, Type: Simple AI
Game 30: Winner: Ilona, Type: Simple AI
Game 31: Winner: Ilona, Type: Simple AI
Game 32: Winner: Ilona, Type: Simple AI
Game 33: Winner: Anett, Type: Simple AI
Game 34: Winner: Ilona, Type: Simple AI
Game 35: Winner: Anett, Type: Simple AI
Game 36: Winner: Anett, Type: Simple AI
Game 37: Winner: Anett, Type: Simple AI
Game 38: Winner: Anett, Type: Simple AI
Game 39: Winner: Ilona, Type: Simple AI
Game 40: Winner: Anett, Type: Simple AI
Game 41: Winner: Anett, Type: Simple AI
Game 42: Winner: Anett, Type: Simple AI
Game 43: Winner: Anett, Type: Simple AI
Game 44: Winner: Anett, Type: Simple AI
Game 45: Winner: Anett, Type: Simple AI
Game 46: Winner: Anett, Type: Simple AI
Game 47: Winner: Anett, Type: Simple AI
Game 48: Winner: Ilona, Type: Simple AI
Game 49: Winner: Anett, Type: Simple AI
Game 50: Winner: Anett, Type: Simple AI
Game 51: Winner: Ilona, Type: Simple AI
Game 52: Winner: Ilona, Type: Simple AI
Game 53: Winner: Ilona, Type: Simple AI
Game 54: Winner: Anett, Type: Simple AI
Game 55: Winner: Anett, Type: Simple AI
Game 56: Winner: Anett, Type: Simple AI
Game 57: Winner: Ilona, Type: Simple AI
Game 58: Winner: Ilona, Type: Simple AI
Game 59: Winner: Ilona, Type: Simple AI
Game 60: Winner: Anett, Type: Simple AI
