Players:
Mária (Random AI) 
Petra (Statistical AI) 

Results:
Petra (Statistical AI) won 84 games (84%)
Mária (Random AI) won 16 games (16%)

Games:
Game 0: Winner: Petra, Type: Statistical AI
Game 1: Winner: Petra, Type: Statistical AI
Game 2: Winner: Petra, Type: Statistical AI
Game 3: Winner: Petra, Type: Statistical AI
Game 4: Winner: Mária, Type: Random AI
Game 5: Winner: Petra, Type: Statistical AI
Game 6: Winner: Petra, Type: Statistical AI
Game 7: Winner: Petra, Type: Statistical AI
Game 8: Winner: Petra, Type: Statistical AI
Game 9: Winner: Mária, Type: Random AI
Game 10: Winner: Petra, Type: Statistical AI
Game 11: Winner: Petra, Type: Statistical AI
Game 12: Winner: Petra, Type: Statistical AI
Game 13: Winner: Mária, Type: Random AI
Game 14: Winner: Petra, Type: Statistical AI
Game 15: Winner: Petra, Type: Statistical AI
Game 16: Winner: Petra, Type: Statistical AI
Game 17: Winner: Petra, Type: Statistical AI
Game 18: Winner: Petra, Type: Statistical AI
Game 19: Winner: Mária, Type: Random AI
Game 20: Winner: Petra, Type: Statistical AI
Game 21: Winner: Petra, Type: Statistical AI
Game 22: Winner: Petra, Type: Statistical AI
Game 23: Winner: Petra, Type: Statistical AI
Game 24: Winner: Petra, Type: Statistical AI
Game 25: Winner: Petra, Type: Statistical AI
Game 26: Winner: Mária, Type: Random AI
Game 27: Winner: Petra, Type: Statistical AI
Game 28: Winner: Petra, Type: Statistical AI
Game 29: Winner: Petra, Type: Statistical AI
Game 30: Winner: Mária, Type: Random AI
Game 31: Winner: Petra, Type: Statistical AI
Game 32: Winner: Petra, Type: Statistical AI
Game 33: Winner: Petra, Type: Statistical AI
Game 34: Winner: Petra, Type: Statistical AI
Game 35: Winner: Petra, Type: Statistical AI
Game 36: Winner: Petra, Type: Statistical AI
Game 37: Winner: Mária, Type: Random AI
Game 38: Winner: Petra, Type: Statistical AI
Game 39: Winner: Petra, Type: Statistical AI
Game 40: Winner: Petra, Type: Statistical AI
Game 41: Winner: Petra, Type: Statistical AI
Game 42: Winner: Petra, Type: Statistical AI
Game 43: Winner: Mária, Type: Random AI
Game 44: Winner: Petra, Type: Statistical AI
Game 45: Winner: Petra, Type: Statistical AI
Game 46: Winner: Petra, Type: Statistical AI
Game 47: Winner: Mária, Type: Random AI
Game 48: Winner: Mária, Type: Random AI
Game 49: Winner: Petra, Type: Statistical AI
Game 50: Winner: Petra, Type: Statistical AI
Game 51: Winner: Petra, Type: Statistical AI
Game 52: Winner: Petra, Type: Statistical AI
Game 53: Winner: Petra, Type: Statistical AI
Game 54: Winner: Mária, Type: Random AI
Game 55: Winner: Petra, Type: Statistical AI
Game 56: Winner: Petra, Type: Statistical AI
Game 57: Winner: Petra, Type: Statistical AI
Game 58: Winner: Petra, Type: Statistical AI
Game 59: Winner: Petra, Type: Statistical AI
Game 60: Winner: Petra, Type: Statistical AI
Game 61: Winner: Petra, Type: Statistical AI
Game 62: Winner: Petra, Type: Statistical AI
Game 63: Winner: Mária, Type: Random AI
Game 64: Winner: Petra, Type: Statistical AI
Game 65: Winner: Petra, Type: Statistical AI
Game 66: Winner: Petra, Type: Statistical AI
Game 67: Winner: Mária, Type: Random AI
Game 68: Winner: Petra, Type: Statistical AI
Game 69: Winner: Petra, Type: Statistical AI
Game 70: Winner: Petra, Type: Statistical AI
Game 71: Winner: Mária, Type: Random AI
Game 72: Winner: Petra, Type: Statistical AI
Game 73: Winner: Petra, Type: Statistical AI
Game 74: Winner: Petra, Type: Statistical AI
Game 75: Winner: Petra, Type: Statistical AI
Game 76: Winner: Petra, Type: Statistical AI
Game 77: Winner: Petra, Type: Statistical AI
Game 78: Winner: Petra, Type: Statistical AI
Game 79: Winner: Petra, Type: Statistical AI
Game 80: Winner: Mária, Type: Random AI
Game 81: Winner: Mária, Type: Random AI
Game 82: Winner: Petra, Type: Statistical AI
Game 83: Winner: Petra, Type: Statistical AI
Game 84: Winner: Petra, Type: Statistical AI
Game 85: Winner: Petra, Type: Statistical AI
Game 86: Winner: Petra, Type: Statistical AI
Game 87: Winner: Petra, Type: Statistical AI
Game 88: Winner: Petra, Type: Statistical AI
Game 89: Winner: Petra, Type: Statistical AI
Game 90: Winner: Petra, Type: Statistical AI
Game 91: Winner: Petra, Type: Statistical AI
Game 92: Winner: Petra, Type: Statistical AI
Game 93: Winner: Petra, Type: Statistical AI
Game 94: Winner: Petra, Type: Statistical AI
Game 95: Winner: Petra, Type: Statistical AI
Game 96: Winner: Petra, Type: Statistical AI
Game 97: Winner: Petra, Type: Statistical AI
Game 98: Winner: Petra, Type: Statistical AI
Game 99: Winner: Petra, Type: Statistical AI
